2006 Lower Weather Meterological Hourly Data (Summary),,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Reference Dataset with the following format:,,,,,,,,,,,,,,
,"[Year of data collection] Meteorological data from Dry Creek Experimental Watershed. Watershed Process Research Group, Boise State University",,,,,,,,,,,,,
, URL: earth.boisestate.edu/drycreek. Multi-paged. [month and day of data download].,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Column.Variable-units| Description,,,,,,,,,,,,,
,1. DateTime| Time stamp of variable collection time [MM/DD/YY  hr:mm],,,,,,,,,,,,,
,2. Precipitation-mm| Cumulative Shielded Rain gage Depth [mm],,,,,,,,,,,,,
,"3. AirTemperature-C| Air Temperature at 2m above ground, Averaged [C]",,,,,,,,,,,,,
,"4. SolarRadiation-Watts/m2| Solar Radiation, Averaged [Watts/m2]",,,,,,,,,,,,,
,"5. Net Radiation-Watts/m2| Net Radiation, Averaged [Watts/m2]",,,,,,,,,,,,,
,"6. Relative Humidity-%| Relative Humidity at 2m above ground , Averaged [%]",,,,,,,,,,,,,
,7. Wind Direction-Degree| Mean Resultant Wind Direction at 2m above ground [Degree],,,,,,,,,,,,,
,"8. Wind Speed-m/s| Wind Speed at 2m above ground, Averaged [m/s]",,,,,,,,,,,,,
,"9.Snow Depth-cm| Filtered depth of snow above ground, Acoustic Sensor [cm]",,,,,,,,,,,,,
,Note: -6999 denotes missing data,,,,,,,,,,,,,
,,,,,,,,,,,,,,
DateTime,Precipitation-mm,AirTemperature-C,SolarRadiation-Watts/m2,NetRadiation-Watts/m2,RelativeHumidity-%,WindDirection-Degree,WindSpeed-m/s,SnowDepth-cm,,,,,,
01/01/2006 00:00,0.00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,,,,
01/01/2006 01:00,0.00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,,,,
01/01/2006 02:00,0.00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,,,,
01/01/2006 03:00,0.00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,,,,
01/01/2006 04:00,0.00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,,,,
01/01/2006 05:00,0.00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,,,,
01/01/2006 06:00,0.00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,,,,
01/01/2006 07:00,0.00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,,,,
01/01/2006 08:00,0.00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,,,,
01/01/2006 09:00,0.00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,,,,
01/01/2006 10:00,0.00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,,,,
01/01/2006 11:00,0.00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,,,,
01/01/2006 12:00,0.10,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,,,,
01/01/2006 13:00,0.10,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,,,,
01/01/2006 14:00,0.10,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,,,,
01/01/2006 15:00,0.20,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,,,,
01/01/2006 16:00,0.20,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,,,,
01/01/2006 17:00,0.20,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,,,,
01/01/2006 18:00,0.20,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,,,,
01/01/2006 19:00,0.30,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,,,,
01/01/2006 20:00,0.30,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,,,,
01/01/2006 21:00,0.30,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,,,,
01/01/2006 22:00,0.40,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,,,,
01/01/2006 23:00,0.40,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,,,,
01/02/2006 00:00,0.40,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,,,,
01/02/2006 01:00,0.50,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,,,,
01/02/2006 02:00,0.50,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,,,,
01/02/2006 03:00,0.50,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,,,,
01/02/2006 04:00,0.60,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,,,,
01/02/2006 05:00,0.60,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,,,,
01/02/2006 06:00,0.60,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,,,,
01/02/2006 07:00,0.70,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,,,,
01/02/2006 08:00,0.70,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,,,,
01/02/2006 09:00,0.70,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,,,,
01/02/2006 10:00,0.70,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,,,,
01/02/2006 11:00,0.80,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,,,,
01/02/2006 12:00,0.80,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,,,,
01/02/2006 13:00,0.80,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,,,,
01/02/2006 14:00,0.90,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,,,,
01/02/2006 15:00,0.90,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,,,,
01/02/2006 16:00,0.90,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,,,,
01/02/2006 17:00,1.00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,,,,
01/02/2006 18:00,1.00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,,,,
01/02/2006 19:00,1.00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,,,,
01/02/2006 20:00,1.10,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,,,,
01/02/2006 21:00,1.10,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,,,,
01/02/2006 22:00,1.10,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,,,,
01/02/2006 23:00,1.20,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,,,,
01/03/2006 00:00,1.20,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,,,,
01/03/2006 01:00,1.20,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,,,,
01/03/2006 02:00,1.20,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,,,,
