2008 Lower Weather Meterological Hourly Data (Summary),,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Reference Dataset with the following format:,,,,,,,,,,,,,,
,"[Year of data collection] Meteorological data from Dry Creek Experimental Watershed. Watershed Process Research Group, Boise State University",,,,,,,,,,,,,
, URL: earth.boisestate.edu/drycreek. Multi-paged. [month and day of data download].,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Column.Variable-units| Description,,,,,,,,,,,,,
,1. DateTime| Time stamp of variable collection time [MM/DD/YY  hr:mm],,,,,,,,,,,,,
,2. Precipitation-mm| Cumulative Shielded Rain gage Depth [mm],,,,,,,,,,,,,
,"3. AirTemperature-C| Air Temperature at 2m above ground, Averaged [C]",,,,,,,,,,,,,
,"4. SolarRadiation-Watts/m2| Solar Radiation, Averaged [Watts/m2]",,,,,,,,,,,,,
,"5. Net Radiation-Watts/m2| Net Radiation, Averaged [Watts/m2]",,,,,,,,,,,,,
,"6. Relative Humidity-%| Relative Humidity at 2m above ground , Averaged [%]",,,,,,,,,,,,,
,7. Wind Direction-Degree| Mean Resultant Wind Direction at 2m above ground [Degree],,,,,,,,,,,,,
,"8. Wind Speed-m/s| Wind Speed at 2m above ground, Averaged [m/s]",,,,,,,,,,,,,
,"9.Snow Depth-cm| Filtered depth of snow above ground, Acoustic Sensor [cm]",,,,,,,,,,,,,
,Note: -6999 denotes missing data,,,,,,,,,,,,,
,,,,,,,,,,,,,,
DateTime,Precipitation-mm,AirTemperature-C,SolarRadiation-Watts/m2,NetRadiation-Watts/m2,RelativeHumidity-%,WindDirection-Degree,WindSpeed-m/s,SnowDepth-cm,,,,,,
01/01/2008 00:00,0.00,-7.3,0.00,-46.32,68.63,32.6,3.08,8.97,,,,,,
01/01/2008 01:00,0.00,-7.0,0.00,-48.89,65.58,40.6,1.99,8.61,,,,,,
01/01/2008 02:00,0.00,-7.9,0.00,-41.85,67.45,36.9,1.80,8.97,,,,,,
01/01/2008 03:00,0.00,-7.8,0.00,-38.65,66.06,30.4,2.59,9.50,,,,,,
01/01/2008 04:00,0.00,-7.1,0.00,-44.41,62.13,44.2,2.13,9.68,,,,,,
01/01/2008 05:00,0.00,-6.3,0.00,-40.56,53.07,80.4,1.52,9.14,,,,,,
01/01/2008 06:00,0.00,-7.3,0.00,-38.86,56.15,94.7,1.10,9.68,,,,,,
01/01/2008 07:00,0.00,-8.3,0.00,-40.79,59.03,97.6,1.42,9.13,,,,,,
01/01/2008 08:00,0.00,-8.9,2.25,-35.45,62.83,72.7,1.47,9.11,,,,,,
01/01/2008 09:00,0.00,-9.6,94.93,-23.07,69.07,67.1,0.77,9.82,,,,,,
01/01/2008 10:00,0.00,-9.0,230.78,48.47,68.48,66.4,0.89,9.49,,,,,,
01/01/2008 11:00,0.00,-8.7,327.08,79.40,75.10,22.1,1.68,9.17,,,,,,
01/01/2008 12:00,0.00,-8.2,407.30,83.00,73.40,250.0,1.33,9.36,,,,,,
01/01/2008 13:00,0.00,-7.3,392.20,64.63,71.60,262.1,1.10,9.21,,,,,,
01/01/2008 14:00,0.00,-5.6,317.18,75.90,64.75,290.0,0.64,8.33,,,,,,
01/01/2008 15:00,0.00,-4.4,230.90,56.50,59.76,125.0,1.14,9.61,,,,,,
01/01/2008 16:00,0.00,-3.1,62.08,-10.66,54.69,127.5,1.03,9.42,,,,,,
01/01/2008 17:00,0.00,-4.5,0.00,-40.10,58.12,81.8,1.48,9.39,,,,,,
01/01/2008 18:00,0.00,-5.9,0.00,-35.42,61.42,60.4,1.74,9.71,,,,,,
01/01/2008 19:00,0.00,-6.2,0.00,-23.69,58.89,52.3,1.25,9.70,,,,,,
01/01/2008 20:00,0.00,-6.1,0.00,-29.88,59.09,40.5,0.69,9.51,,,,,,
01/01/2008 21:00,0.00,-7.2,0.00,-29.67,63.63,39.3,1.43,9.50,,,,,,
01/01/2008 22:00,0.00,-7.1,0.00,-20.07,62.72,55.9,1.65,9.68,,,,,,
01/01/2008 23:00,0.00,-7.4,0.00,-23.91,65.43,53.1,1.35,9.50,,,,,,
01/02/2008 00:00,0.00,-7.6,0.00,-31.59,66.56,51.5,1.35,9.68,,,,,,
01/02/2008 01:00,0.00,-7.7,0.00,-31.17,65.13,55.3,1.33,9.68,,,,,,
01/02/2008 02:00,0.00,-7.8,0.00,-26.04,64.60,73.3,1.15,9.50,,,,,,
01/02/2008 03:00,0.00,-8.0,0.00,-24.77,65.16,56.5,1.45,9.14,,,,,,
01/02/2008 04:00,0.00,-8.0,0.00,-29.25,64.78,55.7,1.49,9.68,,,,,,
01/02/2008 05:00,0.00,-8.5,0.00,-32.88,67.54,55.2,1.35,9.67,,,,,,
01/02/2008 06:00,0.00,-8.3,0.00,-28.62,65.91,57.8,1.68,7.35,,,,,,
01/02/2008 07:00,0.00,-8.1,0.00,-29.04,65.80,56.2,1.80,9.85,,,,,,
01/02/2008 08:00,0.00,-8.3,7.88,-29.04,67.57,63.2,1.43,9.50,,,,,,
01/02/2008 09:00,0.00,-7.8,97.58,6.83,67.07,55.4,1.08,9.14,,,,,,
01/02/2008 10:00,0.00,-6.1,143.63,17.08,62.51,70.7,0.57,9.51,,,,,,
01/02/2008 11:00,0.00,-4.8,175.65,26.03,59.20,117.0,0.42,8.83,,,,,,
01/02/2008 12:00,0.00,-4.3,226.13,22.82,60.97,239.6,0.66,8.86,,,,,,
01/02/2008 13:00,0.00,-3.3,310.43,58.01,56.65,271.6,0.47,7.97,,,,,,
01/02/2008 14:00,0.00,-1.3,292.20,60.97,45.90,317.1,0.61,8.54,,,,,,
01/02/2008 15:00,0.00,-0.8,152.33,23.02,46.88,135.6,0.95,9.11,,,,,,
01/02/2008 16:00,0.00,-1.2,44.15,0.21,51.14,111.6,1.25,8.55,,,,,,
01/02/2008 17:00,0.00,-1.6,0.00,-23.88,56.08,122.0,1.41,9.25,,,,,,
01/02/2008 18:00,0.00,-2.2,0.00,-22.82,59.45,79.8,1.43,9.22,,,,,,
01/02/2008 19:00,0.00,-2.7,0.00,-26.45,63.91,77.9,1.14,9.22,,,,,,
01/02/2008 20:00,0.00,-3.2,0.00,-20.91,66.78,91.9,0.99,9.22,,,,,,
01/02/2008 21:00,0.00,-4.2,0.00,-25.60,70.20,85.5,1.17,8.83,,,,,,
01/02/2008 22:00,0.00,-4.6,0.00,-18.14,71.30,79.3,1.17,8.65,,,,,,
01/02/2008 23:00,0.00,-4.5,0.00,-23.90,71.30,57.8,0.67,8.65,,,,,,
01/03/2008 00:00,0.00,-4.5,0.00,-25.18,71.40,57.7,1.12,8.11,,,,,,
01/03/2008 01:00,0.00,-4.3,0.00,3.41,69.86,57.7,0.90,8.47,,,,,,
