2011 Lower Weather Meterological Hourly Data (Summary),,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Reference Dataset with the following format:,,,,,,,,,,,,,,
,"[Year of data collection] Meteorological data from Dry Creek Experimental Watershed. Watershed Process Research Group, Boise State University",,,,,,,,,,,,,
, URL: earth.boisestate.edu/drycreek. Multi-paged. [month and day of data download].,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Column.Variable-units| Description,,,,,,,,,,,,,
,1. DateTime| Time stamp of variable collection time [MM/DD/YY  hr:mm],,,,,,,,,,,,,
,2. Precipitation-mm| Cumulative Shielded Rain gage Depth [mm],,,,,,,,,,,,,
,"3. AirTemperature-C| Air Temperature at 2m above ground, Averaged [C]",,,,,,,,,,,,,
,"4. SolarRadiation-Watts/m2| Solar Radiation, Averaged [Watts/m2]",,,,,,,,,,,,,
,"5. Net Radiation-Watts/m2| Net Radiation, Averaged [Watts/m2]",,,,,,,,,,,,,
,"6. Relative Humidity-%| Relative Humidity at 2m above ground , Averaged [%]",,,,,,,,,,,,,
,7. Wind Direction-Degree| Mean Resultant Wind Direction at 2m above ground [Degree],,,,,,,,,,,,,
,"8. Wind Speed-m/s| Wind Speed at 2m above ground, Averaged [m/s]",,,,,,,,,,,,,
,"9.Snow Depth-cm| Filtered depth of snow above ground, Acoustic Sensor [cm]",,,,,,,,,,,,,
,Note: -6999 denotes missing data,,,,,,,,,,,,,
,,,,,,,,,,,,,,
DateTime,Precipitation-mm,AirTemperature-C,SolarRadiation-Watts/m2,NetRadiation-Watts/m2,RelativeHumidity-%,WindDirection-Degree,WindSpeed-m/s,SnowDepth-cm,,,,,,
01/01/11 0:00,0.00,-13.0,0.02,-48.29,68.21,89.9,4.27,12.45,,,,,,
01/01/11 1:00,0.00,-13.4,0.01,-44.02,70.40,92.7,3.77,12.45,,,,,,
01/01/11 2:00,0.00,-13.1,0.02,-41.89,69.58,91.4,4.18,12.96,,,,,,
01/01/11 3:00,0.00,-13.0,0.02,-40.60,69.15,86.5,4.09,12.62,,,,,,
01/01/11 4:00,0.00,-13.2,0.01,-45.30,70.00,90.1,3.39,12.62,,,,,,
01/01/11 5:00,0.00,-13.4,0.01,-45.52,71.60,94.3,3.07,12.45,,,,,,
01/01/11 6:00,0.00,-13.5,0.01,-44.88,71.50,89.7,3.56,12.11,,,,,,
01/01/11 7:00,0.00,-13.4,0.01,-48.73,70.90,94.0,3.46,12.96,,,,,,
01/01/11 8:00,0.00,-13.9,6.62,-42.31,72.50,118.3,1.88,12.96,,,,,,
01/01/11 9:00,0.00,-14.4,64.37,-44.03,74.00,126.2,1.55,12.62,,,,,,
01/01/11 10:00,0.00,-13.6,197.23,-1.92,71.20,119.9,1.80,12.94,,,,,,
01/01/11 11:00,0.00,-11.9,301.10,48.05,65.29,114.4,1.15,12.62,,,,,,
01/01/11 12:00,0.00,-8.0,358.75,98.40,58.40,240.3,0.50,12.16,,,,,,
01/01/11 13:00,0.00,-8.3,365.13,85.80,64.67,225.9,0.88,12.38,,,,,,
01/01/11 14:00,0.00,-7.9,314.18,90.50,62.37,190.1,0.96,10.70,,,,,,
01/01/11 15:00,0.00,-7.1,212.15,37.76,54.01,258.6,0.66,12.07,,,,,,
01/01/11 16:00,0.00,-8.0,67.64,-4.27,58.95,170.1,1.52,12.76,,,,,,
01/01/11 17:00,0.00,-9.6,6.92,-48.24,68.70,133.2,1.89,12.06,,,,,,
01/01/11 18:00,0.00,-11.3,0.02,-49.33,74.20,121.2,2.31,12.02,,,,,,
01/01/11 19:00,0.00,-11.3,0.01,-54.90,71.50,131.2,2.78,12.15,,,,,,
01/01/11 20:00,0.00,-11.4,0.02,-44.64,70.80,132.3,2.68,11.29,,,,,,
01/01/11 21:00,0.00,-11.8,0.02,-31.19,72.20,121.9,2.58,12.99,,,,,,
01/01/11 22:00,0.00,-11.7,0.02,-26.06,73.30,105.1,2.73,11.62,,,,,,
01/01/11 23:00,0.00,-11.7,0.02,-24.57,73.00,98.4,2.72,11.62,,,,,,
01/02/11 0:00,0.00,-11.1,0.02,-1.71,72.90,83.3,2.27,10.43,,,,,,
01/02/11 1:00,0.00,-10.9,0.02,-3.63,85.00,291.2,0.55,11.63,,,,,,
01/02/11 2:00,0.00,-9.9,0.02,-2.78,80.60,143.0,0.19,11.97,,,,,,
01/02/11 3:00,0.00,-10.4,0.02,-3.63,85.60,264.4,1.20,11.98,,,,,,
01/02/11 4:00,0.00,-10.6,0.02,-1.92,86.50,299.9,1.27,11.66,,,,,,
01/02/11 5:00,0.00,-10.8,0.02,-3.63,87.40,299.4,0.83,11.31,,,,,,
01/02/11 6:00,0.00,-10.7,0.02,-3.84,84.90,298.5,1.25,12.16,,,,,,
01/02/11 7:00,0.00,-10.6,0.02,-4.91,81.80,297.7,1.35,10.96,,,,,,
01/02/11 8:00,0.00,-10.6,6.50,-7.26,80.90,298.3,0.47,11.81,,,,,,
01/02/11 9:00,0.00,-10.4,54.00,-1.71,81.10,291.5,0.46,11.64,,,,,,
01/02/11 10:00,0.00,-9.7,133.48,21.35,79.10,274.5,0.25,12.16,,,,,,
01/02/11 11:00,0.00,-8.8,187.00,29.67,73.00,277.2,0.55,12.69,,,,,,
01/02/11 12:00,0.00,-8.1,218.70,27.96,70.20,264.9,0.41,13.03,,,,,,
01/02/11 13:00,0.00,-8.0,302.55,37.98,72.30,307.2,1.14,13.06,,,,,,
01/02/11 14:00,0.00,-7.0,276.43,61.87,69.04,291.8,0.89,9.66,,,,,,
01/02/11 15:00,0.00,-6.4,216.83,44.58,66.58,122.4,0.53,12.07,,,,,,
01/02/11 16:00,0.00,-6.2,67.86,1.28,65.30,136.0,0.19,12.42,,,,,,
01/02/11 17:00,0.00,-7.4,6.60,-41.39,72.10,114.8,0.75,13.10,,,,,,
01/02/11 18:00,0.00,-9.8,0.02,-40.78,82.40,108.9,2.39,12.05,,,,,,
01/02/11 19:00,0.00,-10.4,0.02,-45.27,81.90,121.5,1.96,12.01,,,,,,
01/02/11 20:00,0.00,-11.0,0.01,-39.94,82.00,118.9,2.15,10.10,,,,,,
01/02/11 21:00,0.00,-10.7,0.02,-40.59,78.90,99.2,3.46,11.29,,,,,,
01/02/11 22:00,0.00,-10.6,0.02,-41.87,75.90,95.5,3.65,12.31,,,,,,
01/02/11 23:00,0.00,-10.8,0.02,-43.36,76.30,94.4,3.46,11.12,,,,,,
01/03/11 0:00,0.00,-11.0,0.02,-43.58,76.80,105.9,2.71,12.31,,,,,,
01/03/11 1:00,0.00,-11.4,0.02,-40.16,78.00,97.8,3.33,11.63,,,,,,
01/03/11 2:00,0.00,-11.7,0.01,-39.73,79.10,99.6,3.03,11.97,,,,,,
