2012 Lower Weather Meterological Hourly Data (Summary),,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Reference Dataset with the following format:,,,,,,,,,,,,,,
,"[Year of data collection] Meteorological data from Dry Creek Experimental Watershed. Watershed Process Research Group, Boise State University",,,,,,,,,,,,,
, URL: earth.boisestate.edu/drycreek. Multi-paged. [month and day of data download].,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Column.Variable-units| Description,,,,,,,,,,,,,
,1. DateTime| Time stamp of variable collection time [MM/DD/YY  hr:mm],,,,,,,,,,,,,
,2. Precipitation-mm| Cumulative Shielded Rain gage Depth [mm],,,,,,,,,,,,,
,"3. AirTemperature-C| Air Temperature at 2m above ground, Averaged [C]",,,,,,,,,,,,,
,"4. SolarRadiation-Watts/m2| Solar Radiation, Averaged [Watts/m2]",,,,,,,,,,,,,
,"5. Net Radiation-Watts/m2| Net Radiation, Averaged [Watts/m2]",,,,,,,,,,,,,
,"6. Relative Humidity-%| Relative Humidity at 2m above ground , Averaged [%]",,,,,,,,,,,,,
,7. Wind Direction-Degree| Mean Resultant Wind Direction at 2m above ground [Degree],,,,,,,,,,,,,
,"8. Wind Speed-m/s| Wind Speed at 2m above ground, Averaged [m/s]",,,,,,,,,,,,,
,"9.Snow Depth-cm| Filtered depth of snow above ground, Acoustic Sensor [cm]",,,,,,,,,,,,,
,Note: -6999 denotes missing data,,,,,,,,,,,,,
,,,,,,,,,,,,,,
DateTime,Precipitation-mm,AirTemperature-C,SolarRadiation-Watts/m2,NetRadiation-Watts/m2,RelativeHumidity-%,WindDirection-Degree,WindSpeed-m/s,SnowDepth-cm,,,,,,
01/01/2012 00:00,0.00,-1.3,0.02,-14.7,48.08,0.0,0.00,0.00,,,,,,
01/01/2012 01:00,0.00,-1.2,0.02,-26.9,49.29,0.0,0.00,0.00,,,,,,
01/01/2012 02:00,0.00,-1.4,0.02,-12.2,51.20,0.0,0.00,0.00,,,,,,
01/01/2012 03:00,0.00,-1.2,0.02,-26.4,51.44,179.7,0.00,0.00,,,,,,
01/01/2012 04:00,0.00,-1.8,0.02,-13.0,56.05,86.5,0.00,0.00,,,,,,
01/01/2012 05:00,0.00,-0.8,0.02,-15.4,51.82,108.3,0.00,0.00,,,,,,
01/01/2012 06:00,0.00,-0.6,0.01,-5.1,51.01,94.5,0.00,0.00,,,,,,
01/01/2012 07:00,0.00,-0.6,0.02,-16.8,51.68,199.3,0.00,0.00,,,,,,
01/01/2012 08:00,0.00,-1.4,3.60,-8.5,60.37,148.5,0.00,0.00,,,,,,
01/01/2012 09:00,0.00,-1.9,35.40,-0.9,64.46,198.6,0.00,0.00,,,,,,
01/01/2012 10:00,0.00,-1.9,183.03,14.5,68.29,278.9,0.00,0.00,,,,,,
01/01/2012 11:00,0.00,0.0,299.73,141.8,58.82,227.0,0.32,0.00,,,,,,
01/01/2012 12:00,0.00,0.9,349.95,176.4,57.68,266.7,1.30,0.00,,,,,,
01/01/2012 13:00,0.00,1.4,369.40,194.5,54.67,278.2,1.40,0.00,,,,,,
01/01/2012 14:00,0.00,2.5,312.95,177.0,51.69,270.4,1.34,0.00,,,,,,
01/01/2012 15:00,0.00,3.2,218.05,127.1,49.47,263.5,1.03,0.00,,,,,,
01/01/2012 16:00,0.00,4.2,67.11,37.7,47.20,213.9,0.90,0.00,,,,,,
01/01/2012 17:00,0.00,3.6,5.67,-47.3,51.72,190.0,1.08,0.00,,,,,,
01/01/2012 18:00,0.00,1.4,0.01,-50.5,63.57,115.5,1.90,0.00,,,,,,
01/01/2012 19:00,0.00,0.2,0.01,-50.3,69.10,116.3,1.72,0.00,,,,,,
01/01/2012 20:00,0.00,-0.1,0.02,-42.2,68.88,116.5,0.82,0.00,,,,,,
01/01/2012 21:00,0.00,0.3,0.02,-46.9,66.39,87.8,0.22,0.00,,,,,,
01/01/2012 22:00,0.00,-0.6,0.02,-43.7,70.20,116.3,0.08,0.00,,,,,,
01/01/2012 23:00,0.00,-0.4,0.02,-48.4,68.81,287.4,0.21,0.00,,,,,,
01/02/2012 00:00,0.00,-1.5,0.02,-49.7,74.60,145.4,0.01,0.00,,,,,,
01/02/2012 01:00,0.00,-2.2,0.02,-48.6,78.00,196.1,0.00,0.00,,,,,,
01/02/2012 02:00,0.00,-2.5,0.02,-52.7,80.10,0.0,0.00,0.00,,,,,,
01/02/2012 03:00,0.00,-1.7,0.02,-46.9,75.90,0.0,0.00,0.00,,,,,,
01/02/2012 04:00,0.10,-1.9,0.02,-46.9,76.70,0.0,0.00,0.00,,,,,,
01/02/2012 05:00,0.10,-1.5,0.02,-49.9,74.00,130.7,0.00,0.00,,,,,,
01/02/2012 06:00,0.10,-1.4,0.02,-54.0,73.40,311.8,0.00,0.00,,,,,,
01/02/2012 07:00,0.10,-2.1,0.02,-51.8,76.80,0.0,0.00,0.00,,,,,,
01/02/2012 08:00,0.10,-1.5,7.37,-49.7,73.90,0.0,0.00,0.00,,,,,,
01/02/2012 09:00,0.10,-1.5,67.60,-23.7,74.00,205.6,0.00,0.00,,,,,,
01/02/2012 10:00,0.50,0.0,212.35,74.6,68.77,144.5,0.49,0.00,,,,,,
01/02/2012 11:00,0.50,2.3,210.45,124.7,61.09,236.3,0.63,0.00,,,,,,
01/02/2012 12:00,0.50,2.3,225.53,107.2,64.43,258.8,0.97,0.00,,,,,,
01/02/2012 13:00,0.50,3.1,156.45,63.9,61.94,253.6,0.58,0.00,,,,,,
01/02/2012 14:00,0.50,4.2,102.25,42.4,58.94,187.3,0.99,0.00,,,,,,
01/02/2012 15:00,0.50,4.5,56.67,15.1,56.45,286.6,1.84,0.00,,,,,,
01/02/2012 16:00,0.50,5.8,43.17,10.4,49.20,172.5,1.21,0.00,,,,,,
01/02/2012 17:00,0.50,11.0,4.41,-29.6,24.23,171.0,3.58,0.00,,,,,,
01/02/2012 18:00,0.50,13.3,0.00,-51.3,16.88,177.4,4.29,0.00,,,,,,
01/02/2012 19:00,0.50,7.2,0.00,-31.1,40.57,214.0,2.63,0.00,,,,,,
01/02/2012 20:00,0.50,4.0,0.00,-33.0,52.42,282.1,1.40,0.00,,,,,,
01/02/2012 21:00,0.60,2.7,0.00,-46.7,57.72,260.3,1.16,0.00,,,,,,
01/02/2012 22:00,0.60,2.0,0.01,-53.1,59.52,223.9,1.09,0.00,,,,,,
01/02/2012 23:00,0.60,2.3,0.01,-46.5,57.91,135.1,1.54,0.00,,,,,,
01/03/2012 00:00,0.60,3.0,0.01,-50.1,53.09,142.7,1.35,0.00,,,,,,
01/03/2012 01:00,0.60,3.5,0.01,-37.5,49.78,137.5,1.20,0.00,,,,,,
