2013 Lower Weather Meterological Hourly Data (Summary),,,,,,,,
,,,,,,,,
Reference Dataset with the following format:,,,,,,,,
,"[Year of data collection] Meteorological data from Dry Creek Experimental Watershed. Watershed Process Research Group, Boise State University",,,,,,,
, URL: earth.boisestate.edu/drycreek. Multi-paged. [month and day of data download].,,,,,,,
,,,,,,,,
,,,,,,,,
,Column.Variable-units| Description,,,,,,,
,1. DateTime| Time stamp of variable collection time [MM/DD/YY  hr:mm],,,,,,,
,2. Precipitation-mm| Cumulative Shielded Rain gage Depth [mm],,,,,,,
,"3. AirTemperature-C| Air Temperature at 2m above ground, Averaged [C]",,,,,,,
,"4. SolarRadiation-Watts/m2| Solar Radiation, Averaged [Watts/m2]",,,,,,,
,"5. Net Radiation-Watts/m2| Net Radiation, Averaged [Watts/m2]",,,,,,,
,"6. Relative Humidity-%| Relative Humidity at 2m above ground , Averaged [%]",,,,,,,
,7. Wind Direction-Degree| Mean Resultant Wind Direction at 2m above ground [Degree],,,,,,,
,"8. Wind Speed-m/s| Wind Speed at 2m above ground, Averaged [m/s]",,,,,,,
,"9.Snow Depth-cm| Filtered depth of snow above ground, Acoustic Sensor [cm]",,,,,,,
,Note: -6999 denotes missing data,,,,,,,
,,,,,,,,
DateTime,Precipitation-mm,AirTemperature-C,SolarRadiation-Watts/m2,NetRadiation-Watts/m2,RelativeHumidity-%,WindDirection-Degree,WindSpeed-m/s,SnowDepth-cm
1/3/2013 12:00,0,-10.6,352.2,-26.89,82.6,-6999,-6999,1.38
1/3/2013 13:00,0,-10.3,289.1,-3.84,83.7,-6999,-6999,0.87
1/3/2013 14:00,0,-8.8,339,29.87,77.9,-6999,-6999,0.53
1/3/2013 15:00,0,-7.8,224.7,-10.24,74.5,-6999,-6999,1.25
1/3/2013 16:00,0,-8,154.3,6.19,75.6,-6999,-6999,1.24
1/3/2013 17:00,0,-8.9,24.78,-11.52,78.9,-6999,-6999,1.38
1/3/2013 18:00,0,-11,0,-6.83,87.6,-6999,-6999,1.15
1/3/2013 19:00,0,-12.9,0,-10.47,91.5,-6999,-6999,1.45
1/3/2013 20:00,0,-12.2,0,-0.64,88.4,-6999,-6999,1.44
1/3/2013 21:00,0,-11.9,0,-0.43,85.6,-6999,-6999,1.44
1/3/2013 22:00,0,-11.7,0,2.99,84.2,-6999,-6999,1.44
1/3/2013 23:00,0,-12.3,0,-9.83,84.9,-6999,-6999,1.44
1/4/2013 0:00,0,-12.3,0,-2.14,84.7,-6999,-6999,1.44
1/4/2013 1:00,0,-12,0,0.64,83.9,-6999,-6999,1.1
1/4/2013 2:00,0,-12.3,0,-2.56,84.8,-6999,-6999,1.44
1/4/2013 3:00,0,-12.2,0,-12.82,84.4,-6999,-6999,0.93
1/4/2013 4:00,0,-12.2,0,-11.75,84.3,-6999,-6999,0.59
1/4/2013 5:00,0,-12.2,0,-6.41,84.5,-6999,-6999,0.93
1/4/2013 6:00,0,-12.1,0,-5.77,84.2,-6999,-6999,0.93
1/4/2013 7:00,0,-12.2,0,-13.25,83.8,-6999,-6999,1.1
1/4/2013 8:00,0,-12.8,0.18,-8.97,85.8,-6999,-6999,0.42
1/4/2013 9:00,0,-12.9,22.06,-13.89,85.7,-6999,-6999,0.42
1/4/2013 10:00,0,-11.4,208.8,14.1,82,-6999,-6999,0.61
1/4/2013 11:00,0,-10,339.6,-7.47,81.8,-6999,-6999,0.32
1/4/2013 12:00,0,-9.8,389.4,-1.92,85.1,-6999,-6999,0.53
1/4/2013 13:00,0,-8.8,409.9,-55.48,77.8,-6999,-6999,0
1/4/2013 14:00,0,-7.4,360.9,-41.38,72.7,-6999,-6999,0
1/4/2013 15:00,0,-7.2,258.9,-24.74,72.4,-6999,-6999,0.91
1/4/2013 16:00,0,-7.9,132.9,8.11,75.6,-6999,-6999,0.91
1/4/2013 17:00,0,-9.5,23.78,-14.3,81.5,-6999,-6999,0.86
1/4/2013 18:00,0,-11.1,0,-18.36,87.2,-6999,-6999,0.81
1/4/2013 19:00,0,-11.9,0,-11.54,90.1,-6999,-6999,1.46
1/4/2013 20:00,0,-12.5,0,-29.06,91.7,-6999,-6999,1.1
1/4/2013 21:00,0,-12.8,0,-8.55,91.5,-6999,-6999,1.44
1/4/2013 22:00,0,-11.8,0,-17.52,88.2,-6999,-6999,1.44
1/4/2013 23:00,0,-13,0,-8.76,91.7,-6999,-6999,1.44
1/5/2013 0:00,0,-13.1,0,-19.02,89.7,-6999,-6999,1.44
1/5/2013 1:00,0,-12.9,0,-6.2,89.2,-6999,-6999,1.44
1/5/2013 2:00,0,-12.6,0,-3.42,87.4,-6999,-6999,1.1
1/5/2013 3:00,0,-12.7,0,-16.88,87.1,-6999,-6999,1.44
1/5/2013 4:00,0,-12.3,0,-9.83,85.8,-6999,-6999,1.1
1/5/2013 5:00,0,-12.7,0,-7.69,87.3,-6999,-6999,1.1
1/5/2013 6:00,0,-13.3,0,-7.91,87.3,-6999,-6999,1.44
1/5/2013 7:00,0,-13.6,0,-5.99,87.8,-6999,-6999,1.09
1/5/2013 8:00,0,-12.8,0.22,-17.31,87,-6999,-6999,1.44
