2003 Lower Weather Meterological Hourly Data (Summary),,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Reference Dataset with the following format:,,,,,,,,,,,,,,
,"[Year of data collection] Meteorological data from Dry Creek Experimental Watershed. Watershed Process Research Group, Boise State University",,,,,,,,,,,,,
, URL: earth.boisestate.edu/drycreek. Multi-paged. [month and day of data download].,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Column.Variable-units| Description,,,,,,,,,,,,,
,1. DateTime| Time stamp of variable collection time [MM/DD/YY  hr:mm],,,,,,,,,,,,,
,2. Precipitation-mm| Cumulative Shielded Rain gage Depth [mm],,,,,,,,,,,,,
,"3. AirTemperature-C| Air Temperature at 2m above ground, Averaged [C]",,,,,,,,,,,,,
,"4. SolarRadiation-Watts/m2| Solar Radiation, Averaged [Watts/m2]",,,,,,,,,,,,,
,"5. Net Radiation-Watts/m2| Net Radiation, Averaged [Watts/m2]",,,,,,,,,,,,,
,"6. Relative Humidity-%| Relative Humidity at 2m above ground , Averaged [%]",,,,,,,,,,,,,
,7. Wind Direction-Degree| Mean Resultant Wind Direction at 2m above ground [Degree],,,,,,,,,,,,,
,"8. Wind Speed-m/s| Wind Speed at 2m above ground, Averaged [m/s]",,,,,,,,,,,,,
,"9.Snow Depth-cm| Filtered depth of snow above ground, Acoustic Sensor [cm]",,,,,,,,,,,,,
,Note: -6999 denotes missing data,,,,,,,,,,,,,
,,,,,,,,,,,,,,
DateTime,Precipitation-mm,AirTemperature-C,SolarRadiation-Watts/m2,NetRadiation-Watts/m2,RelativeHumidity-%,WindDirection-Degree,WindSpeed-m/s,SnowDepth-cm,,,,,,
01/01/2003 00:00,0.00,0.1,0.00,-6999,86.80,207.2,1.09,2.88,,,,,,
01/01/2003 01:00,0.00,-0.9,0.00,-6999,86.40,105.6,1.92,2.34,,,,,,
01/01/2003 02:00,0.00,-1.1,0.00,-6999,83.10,94.0,2.68,1.44,,,,,,
01/01/2003 03:00,0.01,-0.9,0.00,-6999,81.80,85.5,3.50,0.73,,,,,,
01/01/2003 04:00,0.01,-1.0,0.00,-6999,82.10,89.4,2.79,0.72,,,,,,
01/01/2003 05:00,0.01,-1.1,0.00,-6999,80.50,75.8,4.93,0.72,,,,,,
01/01/2003 06:00,0.01,-0.7,0.00,-6999,77.00,71.3,4.01,0.55,,,,,,
01/01/2003 07:00,0.01,-1.1,0.00,-6999,76.90,92.1,2.90,0.54,,,,,,
01/01/2003 08:00,0.01,-1.9,13.59,-6999,78.40,95.5,3.06,0.89,,,,,,
01/01/2003 09:00,0.01,-1.6,88.13,-6999,77.30,90.3,3.94,0.71,,,,,,
01/01/2003 10:00,0.03,-0.5,135.33,-6999,74.60,90.2,3.81,1.10,,,,,,
01/01/2003 11:00,0.15,0.7,217.18,-6999,72.10,87.2,3.42,2.35,,,,,,
01/01/2003 12:00,0.83,2.6,319.88,-6999,67.33,117.6,1.99,0.00,,,,,,
01/01/2003 13:00,1.43,3.8,272.48,-6999,63.15,186.4,1.91,1.89,,,,,,
01/01/2003 14:00,1.60,4.0,207.48,-6999,55.72,184.8,3.43,3.67,,,,,,
01/01/2003 15:00,1.60,3.9,103.02,-6999,54.73,186.6,3.14,2.60,,,,,,
01/01/2003 16:00,1.60,3.5,22.36,-6999,56.37,156.7,3.98,4.38,,,,,,
01/01/2003 17:00,1.61,2.9,1.64,-6999,58.90,140.7,4.26,4.36,,,,,,
01/01/2003 18:00,1.63,2.7,0.00,-6999,60.75,150.0,2.70,4.87,,,,,,
01/01/2003 19:00,1.64,2.5,0.00,-6999,61.75,132.7,3.04,5.05,,,,,,
01/01/2003 20:00,1.64,2.6,0.00,-6999,61.14,129.2,3.03,4.69,,,,,,
01/01/2003 21:00,1.64,3.1,0.00,-6999,58.36,145.7,3.85,4.34,,,,,,
01/01/2003 22:00,1.64,3.0,0.00,-6999,59.48,140.7,2.96,5.05,,,,,,
01/01/2003 23:00,1.64,3.7,0.00,-6999,54.48,133.2,2.84,4.69,,,,,,
01/02/2003 00:00,1.64,3.7,0.00,-6999,56.33,123.9,3.09,2.04,,,,,,
01/02/2003 01:00,1.64,3.8,0.00,-6999,55.89,127.0,4.27,2.94,,,,,,
01/02/2003 02:00,1.64,3.4,0.00,-6999,57.15,120.1,2.36,1.15,,,,,,
01/02/2003 03:00,1.64,4.1,0.00,-6999,53.98,136.4,3.13,2.57,,,,,,
01/02/2003 04:00,1.64,4.7,0.00,-6999,51.53,165.4,2.07,2.23,,,,,,
01/02/2003 05:00,1.64,4.7,0.00,-6999,52.56,151.1,3.63,1.17,,,,,,
01/02/2003 06:00,1.64,5.1,0.01,-6999,50.81,143.4,3.77,1.89,,,,,,
01/02/2003 07:00,1.64,5.1,0.02,-6999,50.16,143.0,3.87,1.89,,,,,,
01/02/2003 08:00,1.64,5.3,6.64,-6999,50.04,137.0,2.59,1.18,,,,,,
01/02/2003 09:00,1.64,5.1,22.50,-6999,51.96,123.9,1.57,-6999,,,,,,
01/02/2003 10:00,1.64,4.5,50.73,-6999,58.84,123.8,3.68,32.74,,,,,,
01/02/2003 11:00,1.64,5.6,104.33,-6999,62.15,69.0,4.73,39.14,,,,,,
01/02/2003 12:00,1.64,6.3,160.50,-6999,59.42,111.4,1.15,38.43,,,,,,
01/02/2003 13:00,1.64,6.7,138.25,-6999,57.47,140.6,1.45,39.51,,,,,,
01/02/2003 14:00,1.64,6.1,95.88,-6999,63.58,225.7,1.39,38.45,,,,,,
01/02/2003 15:00,1.64,4.8,97.55,-6999,72.20,208.5,1.19,39.14,,,,,,
01/02/2003 16:00,1.64,5.0,23.85,-6999,70.10,168.2,2.14,36.30,,,,,,
01/02/2003 17:00,1.64,6.1,1.31,-6999,59.27,174.5,2.42,40.20,,,,,,
01/02/2003 18:00,1.64,3.7,0.00,-6999,73.40,276.9,1.12,39.84,,,,,,
01/02/2003 19:00,1.64,4.3,0.02,-6999,68.77,150.6,1.91,37.88,,,,,,
01/02/2003 20:00,1.64,7.6,0.11,-6999,48.68,154.8,4.18,39.49,,,,,,
01/02/2003 21:00,1.64,7.5,0.03,-6999,50.87,141.0,2.98,37.56,,,,,,
01/02/2003 22:00,1.64,5.6,0.08,-6999,63.34,191.4,2.61,34.90,,,,,,
01/02/2003 23:00,1.64,7.5,0.05,-6999,54.70,149.7,3.64,39.49,,,,,,
01/03/2003 00:00,1.64,8.5,0.02,-6999,52.41,143.9,5.49,39.52,,,,,,
01/03/2003 01:00,1.64,8.5,0.00,-6999,56.88,137.1,4.98,39.52,,,,,,
01/03/2003 02:00,1.64,9.1,0.00,-6999,57.08,140.6,3.56,37.57,,,,,,
