2008 Lower Deer Point Meterological Hourly Data (Summary),,,,,,,,,,,
,,,,,,,,,,,
Reference Dataset with the following format:,,,,,,,,,,,
,"[Year of data collection] Meteorological data from Dry Creek Experimental Watershed. Watershed Process Research Group, Boise State University",,,,,,,,,,
, URL: earth.boisestate.edu/drycreek. Multi-paged. [month and day of data download].,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,Column.Variable-units| Description,,,,,,,,,,
,1. DateTime| Time stamp of variable collection time [MM/DD/YY  hr:mm],,,,,,,,,,
,2. Precipitation-mm| Cumulative Shielded Rain gage Depth [mm],,,,,,,,,,
,"3. AirTemperature-C| Air Temperature at 2m above ground, Averaged [C]",,,,,,,,,,
,"4. SolarRadiation-Watts/m2| Solar Radiation, Averaged [Watts/m2]",,,,,,,,,,
,"5. Net Radiation-Watts/m2| Net Radiation, Averaged [Watts/m2]",,,,,,,,,,
,"6. Relative Humidity-%| Relative Humidity at 2m above ground , Averaged [%]",,,,,,,,,,
,7. Wind Direction-Degree| Mean Resultant Wind Direction at 2m above ground [Degree],,,,,,,,,,
,"8. Wind Speed-m/s| Wind Speed at 2m above ground, Averaged [m/s]",,,,,,,,,,
,"9.Snow Depth-cm| Filtered depth of snow above ground, Acoustic Sensor [cm]",,,,,,,,,,
,Note: -6999 denotes missing data,,,,,,,,,,
,,,,,,,,,,,
DateTime,Precipitation-mm,AirTemperature-C,SolarRadiation-Watts/m2,NetRadiation-Watts/m2,RelativeHumidity-%,WindDirection-Degree,WindSpeed-m/s,SnowDepth-cm,,,
01/01/2008 00:00,0.00,-10.5,0.00,-41.66,90.00,120.3,2.6,-6999,,,
01/01/2008 01:00,0.00,-10.3,0.00,-56.18,86.20,106.1,3.6,-6999,,,
01/01/2008 02:00,0.00,-10.0,0.00,-58.49,79.70,120.6,4.2,-6999,,,
01/01/2008 03:00,0.00,-10.3,0.00,-49.02,81.90,107.8,4.7,-6999,,,
01/01/2008 04:00,0.00,-10.2,0.00,-45.86,77.20,116.5,3.9,-6999,,,
01/01/2008 05:00,0.00,-9.7,0.00,-46.49,71.80,104.5,5.0,-6999,,,
01/01/2008 06:00,0.00,-9.3,0.00,-44.17,66.78,91.8,5.4,-6999,,,
01/01/2008 07:00,0.00,-9.8,0.00,-44.39,68.93,123.4,5.3,-6999,,,
01/01/2008 08:00,0.00,-9.7,0.00,-39.97,68.38,133.3,5.0,-6999,,,
01/01/2008 09:00,0.00,-8.1,73.60,-61.84,54.98,121.2,8.0,-6999,,,
01/01/2008 10:00,0.00,-8.1,150.50,-85.00,62.99,118.6,6.0,-6999,,,
01/01/2008 11:00,0.00,-6.8,322.60,-77.60,54.77,111.8,7.4,-6999,,,
01/01/2008 12:00,0.00,-5.8,357.40,-88.30,54.07,122.5,7.7,-6999,,,
01/01/2008 13:00,0.00,-5.4,429.70,-114.00,52.83,134.3,7.1,-6999,,,
01/01/2008 14:00,0.00,-5.3,369.40,-128.70,49.30,119.1,5.9,-6999,,,
01/01/2008 15:00,0.00,-5.4,242.90,-91.10,51.37,87.1,6.5,-6999,,,
01/01/2008 16:00,0.00,-5.9,157.10,-91.30,50.70,114.4,7.7,-6999,,,
01/01/2008 17:00,0.00,-6.4,10.62,-43.75,51.12,118.6,6.5,-6999,,,
01/01/2008 18:00,0.00,-5.4,0.00,-48.79,43.44,114.6,5.7,-6999,,,
01/01/2008 19:00,0.00,-5.8,0.00,-36.17,52.60,141.1,5.6,-6999,,,
01/01/2008 20:00,0.00,-5.7,0.00,-31.13,49.94,128.6,6.5,-6999,,,
01/01/2008 21:00,0.00,-5.6,0.00,-29.86,49.67,114.7,7.1,-6999,,,
01/01/2008 22:00,0.00,-4.4,0.00,-35.33,41.42,110.4,5.9,-6999,,,
01/01/2008 23:00,0.00,-5.0,0.00,-38.70,39.63,124.6,6.5,-6999,,,
01/02/2008 00:00,0.00,-3.7,0.00,-29.86,33.81,123.6,7.7,-6999,,,
01/02/2008 01:00,0.00,-3.4,0.00,-37.44,38.06,104.0,6.0,-6999,,,
01/02/2008 02:00,0.00,-4.2,0.00,-30.71,37.85,129.7,9.6,-6999,,,
01/02/2008 03:00,0.00,-2.1,0.00,-33.86,27.83,129.2,6.0,-6999,,,
01/02/2008 04:00,0.00,-2.1,0.00,-39.12,31.19,93.5,6.2,-6999,,,
01/02/2008 05:00,0.00,-2.2,0.00,-37.02,28.82,118.6,9.5,-6999,,,
01/02/2008 06:00,0.00,-2.1,0.00,-35.75,28.89,104.9,11.7,-6999,,,
01/02/2008 07:00,0.00,-1.7,0.00,-29.02,30.25,117.5,8.1,-6999,,,
01/02/2008 08:00,0.00,-1.5,0.00,-33.23,31.45,118.1,5.4,-6999,,,
01/02/2008 09:00,0.00,-0.5,82.30,-4.84,26.34,125.0,6.6,-6999,,,
01/02/2008 10:00,0.00,0.0,138.00,-34.48,29.99,104.4,8.4,-6999,,,
01/02/2008 11:00,0.00,-0.4,187.60,0.21,30.59,126.5,5.1,-6999,,,
01/02/2008 12:00,0.00,0.6,196.90,-28.18,32.55,126.3,5.6,-6999,,,
01/02/2008 13:00,0.00,1.3,284.50,-70.20,27.97,118.4,5.7,-6999,,,
01/02/2008 14:00,0.00,2.3,378.20,-71.10,27.55,118.5,5.9,-6999,,,
01/02/2008 15:00,0.00,2.3,263.60,-40.58,26.83,119.5,5.4,-6999,,,
01/02/2008 16:00,0.00,1.5,74.30,-13.03,29.13,128.8,5.7,-6999,,,
01/02/2008 17:00,0.00,0.7,6.64,-15.98,30.68,113.4,5.6,-6999,,,
01/02/2008 18:00,0.00,1.1,0.00,-32.38,30.36,113.7,5.0,-6999,,,
01/02/2008 19:00,0.00,0.8,0.00,-18.08,29.73,122.2,6.6,-6999,,,
01/02/2008 20:00,0.00,1.0,0.00,-35.32,29.88,125.7,6.2,-6999,,,
01/02/2008 21:00,0.00,1.2,0.00,-33.22,31.02,119.8,5.1,-6999,,,
01/02/2008 22:00,0.00,1.3,0.00,-17.03,29.44,124.3,5.6,-6999,,,
01/02/2008 23:00,0.00,0.5,0.00,-16.82,30.50,112.7,4.1,-6999,,,
01/03/2008 00:00,0.00,0.9,0.00,-29.44,29.68,125.1,4.7,-6999,,,
01/03/2008 01:00,0.00,0.9,0.00,-4.21,32.09,115.7,5.1,-6999,,,
01/03/2008 02:00,0.00,0.8,0.00,-23.55,31.91,134.3,5.4,-6999,,,
01/03/2008 03:00,0.00,1.2,0.00,-9.67,32.35,129.8,4.8,-6999,,,
01/03/2008 04:00,0.00,1.3,0.00,-6.73,32.09,114.9,4.5,-6999,,,
01/03/2008 05:00,0.00,1.1,0.00,-15.98,31.42,101.4,4.5,-6999,,,
