2009 Treeline Meterological Hourly Data (Summary),,,,,,,,
,,,,,,,,
Reference Dataset with the following format:,,,,,,,,
,"[Year of data collection] Meteorological data from Dry Creek Experimental Watershed. Watershed Process Research Group, Boise State University",,,,,,,
, URL: earth.boisestate.edu/drycreek. Multi-paged. [month and day of data download].,,,,,,,
,,,,,,,,
,,,,,,,,
,Column.Variable-units| Description,,,,,,,
,1. DateTime| Time stamp of variable collection time [MM/DD/YY  hr:mm],,,,,,,
,2. Precipitation-mm| Cumulative Shielded Rain gage Depth [mm],,,,,,,
,"3. AirTemperature-C| Air Temperature at 2m above ground, Averaged [C]",,,,,,,
,"4. SolarRadiation-Watts/m2| Solar Radiation, Averaged [Watts/m2]",,,,,,,
,"5. Net Radiation-Watts/m2| Net Radiation, Averaged [Watts/m2]",,,,,,,
,"6. Relative Humidity-%| Relative Humidity at 2m above ground , Averaged [%]",,,,,,,
,7. Wind Direction-Degree| Mean Resultant Wind Direction at 2m above ground [Degree],,,,,,,
,"8. Wind Speed-m/s| Wind Speed at 2m above ground, Averaged [m/s]",,,,,,,
,"9.Snow Depth-cm| Filtered depth of snow above ground, Acoustic Sensor [cm]",,,,,,,
,Note: -6999 denotes missing data,,,,,,,
,,,,,,,,
DateTime,Precipitation-mm,AirTemperature-C,SolarRadiation-Watts/m2,NetRadiation-Watts/m2,RelativeHumidity-%,WindDirection-Degree,WindSpeed-m/s,SnowDepth-cm
01/01/09 00:00,0.00,0.0,0.00,-10.59,68.25,274.8,2.02,80.60
01/01/09 01:00,0.00,-0.3,0.00,-8.90,70.50,267.6,1.62,80.60
01/01/09 02:00,0.00,-0.6,0.00,-4.45,72.30,277.6,1.94,80.60
01/01/09 03:00,0.30,-0.9,0.00,-3.60,79.40,273.3,2.00,79.90
01/01/09 04:00,1.10,-1.7,0.00,-5.30,96.00,284.0,1.92,81.10
01/01/09 05:00,1.80,-1.7,0.00,-1.06,98.00,291.8,0.94,78.60
01/01/09 06:00,2.40,-1.8,0.00,0.85,98.90,189.1,0.23,87.50
01/01/09 07:00,3.50,-1.9,0.00,1.48,99.40,161.1,0.76,88.50
01/01/09 08:00,4.80,-2.1,0.64,1.06,99.50,159.9,1.00,89.50
01/01/09 09:00,6.70,-1.9,6.22,-2.12,99.70,167.9,0.84,92.20
01/01/09 10:00,7.70,-1.2,13.39,-9.32,99.90,204.5,0.83,92.50
01/01/09 11:00,7.80,-0.4,17.76,-79.40,99.90,203.1,1.14,92.50
01/01/09 12:00,7.80,0.9,29.21,-0.42,92.40,204.9,1.47,90.00
01/01/09 13:00,7.80,1.2,62.06,1.69,89.90,191.9,0.67,93.00
01/01/09 14:00,7.80,1.9,73.58,8.47,84.10,202.1,1.60,93.00
01/01/09 15:00,7.80,2.7,42.38,4.24,79.20,196.9,1.41,93.00
01/01/09 16:00,7.80,2.9,16.60,2.33,77.50,89.8,0.80,92.00
01/01/09 17:00,7.80,3.3,3.18,-8.47,74.90,184.0,0.64,91.50
01/01/09 18:00,7.90,3.5,0.00,-32.19,76.90,230.0,1.28,91.00
01/01/09 19:00,7.90,3.9,0.00,-30.28,72.70,171.7,0.95,90.50
01/01/09 20:00,7.90,3.8,0.00,-30.07,72.50,171.7,1.05,89.50
01/01/09 21:00,7.90,3.9,0.00,-46.58,71.50,228.2,2.40,88.60
01/01/09 22:00,7.90,4.1,0.00,-12.28,69.35,238.4,1.78,87.60
01/01/09 23:00,7.90,3.9,0.00,-5.93,68.83,353.9,0.56,87.10
01/02/09 00:00,7.90,3.8,0.00,-9.32,69.28,199.2,0.89,85.60
01/02/09 01:00,7.90,3.8,0.00,-2.33,69.19,197.0,1.01,86.10
01/02/09 02:00,7.90,4.0,0.00,-4.23,66.89,185.2,1.07,85.60
01/02/09 03:00,7.90,4.2,0.00,-10.16,64.21,193.8,1.26,85.10
01/02/09 04:00,7.90,4.2,0.00,-17.14,63.40,189.5,1.43,84.90
01/02/09 05:00,7.90,4.3,0.00,-14.18,61.79,187.7,2.12,84.60
01/02/09 06:00,7.90,4.1,0.00,-9.52,64.41,195.8,1.60,84.60
01/02/09 07:00,7.90,4.3,0.00,-4.66,61.03,199.6,2.04,84.10
01/02/09 08:00,7.90,4.0,0.89,-1.48,64.70,314.4,2.20,83.60
01/02/09 09:00,7.90,3.5,11.31,-4.87,71.60,214.3,3.00,82.70
01/02/09 10:00,7.90,3.1,47.94,0.85,74.60,196.6,4.02,82.20
01/02/09 11:00,7.90,2.5,114.10,18.63,74.60,225.3,4.89,81.20
01/02/09 12:00,7.90,1.6,176.00,43.62,80.60,253.7,6.03,80.70
01/02/09 13:00,7.90,0.4,189.60,30.92,77.30,266.0,5.32,80.20
01/02/09 14:00,7.90,-0.8,260.08,10.59,72.90,279.4,4.56,79.70
01/02/09 15:00,7.90,-1.1,224.80,151.20,71.50,287.6,2.98,79.70
01/02/09 16:00,7.90,-1.9,43.16,-31.76,58.02,291.7,3.74,79.60
01/02/09 17:00,7.90,-3.5,10.86,-53.39,64.04,304.4,4.42,79.10
01/02/09 18:00,7.90,-4.5,0.00,-20.98,63.83,305.5,5.21,78.80
01/02/09 19:00,7.90,-5.4,0.00,-12.93,62.22,306.1,5.73,78.80
01/02/09 20:00,7.90,-6.8,0.00,-62.11,56.57,305.0,4.94,78.50
01/02/09 21:00,7.90,-8.0,0.00,-57.68,49.33,296.6,3.50,78.50
01/02/09 22:00,7.90,-9.0,0.00,-56.63,53.45,303.7,2.95,78.50
01/02/09 23:00,7.90,-9.5,0.00,-44.76,60.37,333.0,3.34,77.70
01/03/09 00:00,7.90,-9.9,0.00,-51.13,63.07,334.0,3.31,77.70
01/03/09 01:00,7.90,-9.3,0.00,-46.25,57.74,317.4,2.07,77.70
01/03/09 02:00,7.90,-8.6,0.00,-8.70,54.06,307.0,3.54,77.00
01/03/09 03:00,7.90,-8.1,0.00,-11.66,61.71,301.9,2.14,77.50
01/03/09 04:00,7.90,-8.3,0.00,-40.72,65.68,293.1,1.97,77.80
01/03/09 05:00,7.90,-8.7,0.00,-53.02,72.00,302.1,2.53,77.50
01/03/09 06:00,7.90,-9.4,0.00,-49.00,77.80,311.2,2.03,77.00
01/03/09 07:00,7.90,-10.2,0.00,-47.73,77.90,328.0,2.13,77.00
01/03/09 08:00,7.90,-10.4,5.80,-50.49,80.50,327.1,2.59,77.00
01/03/09 09:00,7.90,-10.5,109.09,-94.00,79.40,333.8,2.63,76.50
01/03/09 10:00,7.90,-8.3,247.33,-68.52,64.13,339.6,1.34,75.80
01/03/09 11:00,7.90,-5.7,345.88,-3.61,54.58,244.6,0.51,76.00
01/03/09 12:00,7.90,-4.9,389.60,56.38,53.94,229.7,0.45,75.30
