2013 Treeline Meterological Hourly Data (Summary),,,,,,,,,
,,,,,,,,,
Reference Dataset with the following format:,,,,,,,,,
 ,[Year of data collection] Meteorological data from Dry Creek Experimental Watershed. Watershed Process Research Group, Boise State University,,,,,,,
 ,URL: earth.boisestate.edu/drycreek. Multi-paged. [month and day of data download].,,,,,,,,
,,,,,,,,,
,,,,,,,,,
 ,Column.Variable-units| Description,,,,,,,,
 ,1. DateTime| Time stamp of variable collection time [MM/DD/YY  hr:mm],,,,,,,,
 ,2. Precipitation-mm| Cumulative Shielded Rain gage depth [mm],,,,,,,,
 ,3. AirTemperature-C| Air Temperature at 2m above ground Averaged [C]],,,,,,,,
 ,4. SolarRadiation-Watts/m2| Solar Radiation Averaged [Watts/m2],,,,,,,,
 ,5. Net Radiation-Watts/m2| Net Radiation Averaged [Watts/m2],,,,,,,,
 ,6. Relative Humidity-percent| Relative Humidity at 2m above ground Averaged [percent],,,,,,,,
 ,7. Wind Direction-Degree| Mean Resultant Wind Direction at 2m above ground [Degree],,,,,,,,
 ,8. Wind Speed-m/s| Wind Speed at 2m above ground Averaged [m/s],,,,,,,,
 ,9.Snow Depth-cm| Filtered depth of snow above ground Acoustic Sensor [cm],,,,,,,,
 ,Note: -6999 denotes missing data,,,,,,,,
,,,,,,,,,
DateTime,Precipitation-mm,AirTemperature-C,SolarRadiation-Watts/m2,NetRadiation-Watts/m2,RelativeHumidity-%,WindDirection-Degree,WindSpeed-m/s,SnowDepth-cm,
1/1/2013 0:00,0,-12.1,0,-6.16,92.9,317.7,1.46,20.59,
1/1/2013 1:00,0,-12.3,0,-10.61,93,331.1,1.25,20.65,
1/1/2013 2:00,0,-12.4,0,-9.13,92.8,355.2,1.55,20.72,
1/1/2013 3:00,0,-12.3,0,-15.07,92.6,327.7,1.19,20.8,
1/1/2013 4:00,0,-12,0,-4.25,93.3,308.2,1.37,20.87,
1/1/2013 5:00,0,-12.3,0,-8.49,92.9,302.1,1.1,20.94,
1/1/2013 6:00,0,-12.8,0,-7.22,93.3,299.2,1.46,21.02,
1/1/2013 7:00,0,-12.7,0,-3.18,93.1,316.3,1.15,21.09,
1/1/2013 8:00,0,-12.7,0.12,-4.03,92.7,288.3,1.67,21.16,
1/1/2013 9:00,0,-13,49.55,-10.4,92.8,302.9,1.21,21.22,
1/1/2013 10:00,0,-11.9,135.6,-7.43,92.3,238.2,1.34,21.29,
1/1/2013 11:00,0,-11,200.6,-9.55,92.6,160.4,1.29,21.35,
1/1/2013 12:00,0,-11,156.5,-34.78,92.9,185.9,0.9,21.43,
1/1/2013 13:00,0,-10.8,206.8,-68.28,92.4,235.5,1.02,21.49,
1/1/2013 14:00,0,-10.2,152.6,-41.99,92.4,197,0.74,21.52,
1/1/2013 15:00,0,-10.6,134.2,-24.17,92.6,218.9,0.88,21.54,
1/1/2013 16:00,0,-11,66.66,-16.12,92.9,177.5,0.99,21.54,
1/1/2013 17:00,0,-11.4,15.9,-1.06,93.4,217.6,0.77,21.52,
1/1/2013 18:00,0,-12.3,0,1.06,93.5,318,0.89,21.47,
1/1/2013 19:00,0,-13,0,-6.15,92.8,341.1,0.93,21.43,
1/1/2013 20:00,0,-13.9,0,-1.91,92.5,332.8,0.76,21.38,
1/1/2013 21:00,0,-14.1,0,-9.55,92.2,321.5,0.83,21.36,
1/1/2013 22:00,0,-13.3,0,-12.73,92.4,273.2,0.74,21.33,
1/1/2013 23:00,0,-14.2,0,-21.44,91.6,318.2,1,21.32,
1/2/2013 0:00,0,-13.6,0,0.64,92.2,293.6,0.73,21.3,
1/2/2013 1:00,0,-13.2,0,-14.22,92.4,65.7,0.81,21.29,
1/2/2013 2:00,0,-13.7,0,-0.42,91.8,44.9,0.8,21.26,
1/2/2013 3:00,0,-14.5,0,-1.7,91.1,285.8,0.67,21.21,
1/2/2013 4:00,0,-14.7,0,-4.67,91.1,302.1,0.63,21.15,
1/2/2013 5:00,0,-14.1,0,-0.85,91.3,269.7,0.63,21.11,
1/2/2013 6:00,0,-14.7,0,-5.31,90.5,353.5,0.63,21.1,
1/2/2013 7:00,0,-15,0,-2.34,90.7,10.6,0.64,21.1,
1/2/2013 8:00,0,-14.5,0,-2.97,91.1,13.2,0.63,21.13,
1/2/2013 9:00,0,-14,19.96,-8.28,91.6,102.8,0.65,21.2,
1/2/2013 10:00,0,-13.6,67.36,-9.13,91.5,136.1,0.66,21.31,
1/2/2013 11:00,0,-12.9,99.1,-31.19,91.4,178.1,0.66,21.47,
1/2/2013 12:00,0,-12,163.7,-32.67,91.3,208.7,0.64,21.68,
1/2/2013 13:00,0,-11.2,156.5,-32.66,91,213.3,0.65,21.89,
1/2/2013 14:00,0,-10.2,156.7,-41.14,90.7,190.7,0.64,22.12,
1/2/2013 15:00,0,-10.5,143.6,-19.93,91,185,0.63,22.35,
1/2/2013 16:00,0,-9.3,112.3,-4.67,93.2,221.5,0.63,22.56,
1/2/2013 17:00,0,-11.1,21.05,11.66,90.3,137.2,0.64,22.73,
1/2/2013 18:00,0,-12.9,0,-1.06,91.6,2.7,0.63,22.88,
1/2/2013 19:00,0,-13.6,0,8.91,91.2,346.9,0.65,22.98,
1/2/2013 20:00,0,-14.7,0,2.55,90.8,298.8,0.63,23.02,
1/2/2013 21:00,0,-15,0,-2.76,90.6,353.9,0.64,23,
1/2/2013 22:00,0,-15.7,0,-2.76,89.8,300.5,0.63,22.98,
1/2/2013 23:00,0,-13.9,0,1.27,92.6,279,0.64,22.94,
1/3/2013 0:00,0,-14.5,0,9.77,91.8,288.3,0.67,22.86,
1/3/2013 1:00,0,-14.1,0,-3.4,90.9,310.6,0.64,22.76,
1/3/2013 2:00,0,-14,0,-3.18,91.6,330.9,0.68,22.64,
1/3/2013 3:00,0,-13.2,0,-6.16,92.6,20.6,0.67,22.54,
1/3/2013 4:00,0,-12.4,0,0.21,93.5,346.1,0.64,22.43,
1/3/2013 5:00,0,-11.7,0,-0.21,93.5,315.4,0.63,22.31,
1/3/2013 6:00,0,-12.6,0,2.76,91.7,287.8,0.63,22.19,
1/3/2013 7:00,0,-13.6,0,7.85,91.9,290.8,0.63,22.08,
1/3/2013 8:00,0,-13.2,0.03,1.49,92.3,321.6,0.63,21.99,
1/3/2013 9:00,0,-12.4,77.4,-57.31,92.8,300.8,0.63,21.92,
1/3/2013 10:00,0,-5.9,244.7,-34.8,94.5,271.9,0.63,21.88,
1/3/2013 11:00,0,-2.2,414.6,-121.7,91.7,110.1,0.63,21.87,
1/3/2013 12:00,0,-1.5,347.1,-104.3,88.4,93.9,0.63,21.9,
1/3/2013 13:00,0,-1.2,312.1,193.2,74.1,168.1,0.67,21.95,
1/3/2013 14:00,0,-4.2,294.3,195.3,73,225,0.84,22.02,
1/3/2013 15:00,0,-3.8,251.9,194.2,77,217.6,0.63,22.09,
1/3/2013 16:00,0,-4.6,86,-8.47,71.4,121.4,0.63,22.16,
1/3/2013 17:00,0,-7,21.86,-31.37,81.6,143.7,0.63,22.27,
1/3/2013 18:00,0,-10.3,0,-4.67,87,315.6,0.63,22.37,
1/3/2013 19:00,0,-9.9,0,-30.55,84.8,357.1,0.63,22.46,
1/3/2013 20:00,0,-9.8,0,-20.58,83.4,318.8,0.63,22.52,
1/3/2013 21:00,0,-7.9,0,-33.52,68.6,86,0.63,22.56,
1/3/2013 22:00,0,-10.7,0,-28.64,79.1,289.6,0.63,22.58,
1/3/2013 23:00,0,-13.2,0,-37.14,89.5,315.8,0.63,22.58,
1/4/2013 0:00,0,-11.3,0,-39.27,79.8,327.9,0.63,22.57,
1/4/2013 1:00,0,-9.1,0,-40.74,66.69,303.5,0.63,22.58,
1/4/2013 2:00,0,-10.9,0,-37.56,79.5,301.1,0.63,22.6,
1/4/2013 3:00,0,-10.4,0,-30.56,75.1,322.6,0.63,22.62,
1/4/2013 4:00,0,-9.9,0,-35.86,71.4,318.7,0.63,22.64,
1/4/2013 5:00,0,-9.3,0,-43.5,66.5,328.8,0.63,22.64,
1/4/2013 6:00,0,-8.7,0,-37.76,63.39,313,0.63,22.61,
1/4/2013 7:00,0,-9.5,0,-31.82,69.93,323.6,0.63,22.53,
1/4/2013 8:00,0,-9,0.1,-32.25,68.83,307.5,0.63,22.44,
1/4/2013 9:00,0,-9.3,68.46,-26.31,68.77,316.9,0.63,22.35,
1/4/2013 10:00,0,-6.4,296.2,2.76,59.76,93.7,0.63,22.28,
1/4/2013 11:00,0,-5.2,472.4,21.62,56.77,114.4,0.7,22.23,
1/4/2013 12:00,0,-5.6,565.6,84.8,59.22,119.4,0.63,22.19,
1/4/2013 13:00,0,-6,579.3,136.4,66.84,137,0.63,22.18,
1/4/2013 14:00,0,-5.2,509.8,145.3,65.72,155.3,0.98,22.19,
1/4/2013 15:00,0,-5.9,386.7,114.6,71.9,144.7,1.78,22.24,
1/4/2013 16:00,0,-9,113.1,-19.07,86.7,176.5,0.63,22.3,
1/4/2013 17:00,0,-9.8,21.58,-31.8,90.8,248.4,0.63,22.38,
1/4/2013 18:00,0,-8.5,0,-34.35,80,31,0.63,22.45,
1/4/2013 19:00,0,-8.8,0,-29.69,79.2,8.3,0.63,22.52,
1/4/2013 20:00,0,-9.2,0,-28.85,75.7,337.7,0.63,22.58,
1/4/2013 21:00,0,-9.9,0,-30.13,66.57,352.6,0.63,22.62,
1/4/2013 22:00,0,-10,0,-30.55,65.38,329.2,0.63,22.64,
1/4/2013 23:00,0,-9.3,0,-33.1,58.38,343.3,0.63,22.65,
1/5/2013 0:00,0,-9.1,0,-30.13,58.32,318.8,0.63,22.65,
1/5/2013 1:00,0,-9.6,0,-29.91,62.08,336.7,0.63,22.66,
1/5/2013 2:00,0,-8.2,0,-31.82,56.95,300.5,0.63,22.66,
1/5/2013 3:00,0,-8.7,0,-32.46,61.11,315.9,0.63,22.68,
1/5/2013 4:00,0,-8.8,0,-32.03,66.55,293.6,0.63,22.69,
1/5/2013 5:00,0,-8.7,0,-30.76,66.58,304,0.63,22.69,
1/5/2013 6:00,0,-8.3,0,-29.91,68.13,290.6,0.63,22.67,
1/5/2013 7:00,0,-9.6,0,-26.09,70.6,296.6,0.63,22.61,
1/5/2013 8:00,0,-10.7,0.13,-23.76,79.2,321.6,0.63,22.54,
1/5/2013 9:00,0,-8.6,51.33,-36.92,71.9,300.2,0.63,22.46,
1/5/2013 10:00,0,-5.8,220.4,-13.36,61.98,116.3,0.63,22.39,
1/5/2013 11:00,0,-3.3,388,36.46,50.13,162.6,0.97,22.34,
1/5/2013 12:00,0,-2.3,476.6,79.2,49.15,129.8,2.03,22.3,
1/5/2013 13:00,0,-2.4,422.2,44.05,54.17,119.7,4.17,22.29,
1/5/2013 14:00,0,-2.7,405.6,61.83,60.64,109.5,6.2,22.3,
1/5/2013 15:00,0,-3.1,321.6,86.8,63.06,113.2,4.19,22.34,
1/5/2013 16:00,0,-7.3,116.2,-8.47,78.1,109,2.86,22.42,
1/5/2013 17:00,0,-7.7,29.36,-26.28,77.5,267.9,1.22,22.52,
1/5/2013 18:00,0,-7.8,0,-26.93,73.6,291.4,0.63,22.63,
1/5/2013 19:00,0,-8.7,0,-22.48,76.9,288.6,0.63,22.73,
1/5/2013 20:00,0,-7.4,0,-20.36,73.1,3.4,0.63,22.81,
1/5/2013 21:00,0,-9.4,0,-18.66,82.1,283.4,0.63,22.86,
1/5/2013 22:00,0,-8.6,0,-9.33,80,284.8,0.63,22.89,
1/5/2013 23:00,0,-8.3,0,-7.63,78.5,322.3,0.63,22.92,
1/6/2013 0:00,0,-7.8,0,-0.64,76.4,289.6,0.63,22.93,
1/6/2013 1:00,0,-6.7,0,-2.33,73,232.8,0.63,22.94,
1/6/2013 2:00,0,-9,0,-2.33,83.6,10.9,0.63,22.93,
1/6/2013 3:00,0,-7.8,0,-2.55,80.2,25.8,0.63,22.93,
1/6/2013 4:00,0,-8.3,0,0.21,82.2,357,0.63,22.91,
1/6/2013 5:00,0,-6.6,0,4.03,73.7,234.5,0.63,22.87,
1/6/2013 6:00,0,-8.3,0,-7,81.9,311.5,0.63,22.81,
1/6/2013 7:00,0,-7.1,0,-19.93,71.9,331.6,0.63,22.72,
1/6/2013 8:00,0,-7.3,0,-30.11,73,285.3,0.63,22.6,
1/6/2013 9:00,0,-8.1,27.42,4.24,78.6,359.7,0.63,22.47,
1/6/2013 10:00,0,-6.2,108,17.81,72.9,64.3,0.63,22.35,
1/6/2013 11:00,0,-5.3,219.1,34.34,71.7,100.1,0.63,22.24,
1/6/2013 12:00,0,-5.6,346.3,86.9,73.5,167.7,0.63,22.16,
1/6/2013 13:00,0,-4.2,522.4,169.5,67.58,132.8,1.72,22.13,
1/6/2013 14:00,0,-3.9,541.4,90.6,67.9,260.1,2.57,22.14,
1/6/2013 15:00,0,-5.4,368.3,116.1,75,220.9,2.4,22.2,
1/6/2013 16:00,0,-5,109.9,-26.69,75,197.7,3.06,22.29,
1/6/2013 17:00,0,-6.5,24.2,-33.91,80.1,327.4,4,22.4,
1/6/2013 18:00,0,-8.4,0,-29.26,86.6,321.2,2.43,22.51,
1/6/2013 19:00,0,-7.8,0,-32.66,84,21.9,2.29,22.62,
1/6/2013 20:00,0,-6.1,0,-38.17,73.4,300.4,1.59,22.7,
1/6/2013 21:00,0,-6.9,0,-32.87,77.5,308.4,1.28,22.76,
1/6/2013 22:00,0,-6.7,0,-35.42,76.2,298.3,1.67,22.78,
1/6/2013 23:00,0,-5.3,0,-35.63,66.63,343.6,3.03,22.77,
1/7/2013 0:00,0,-6.2,0,-35.2,71.2,312.1,2.12,22.76,
1/7/2013 1:00,0,-7.5,0,-41.99,77.2,337.4,2.02,22.73,
1/7/2013 2:00,0,-6.8,0,-42.63,76.3,348.9,2.64,22.7,
1/7/2013 3:00,0,-6.9,0,-34.35,79.1,360,2.16,22.69,
1/7/2013 4:00,0,-7.1,0,-40.08,76.8,313.7,1.41,22.74,
1/7/2013 5:00,0,-8.1,0,-33.09,80.6,13.7,3.25,22.85,
1/7/2013 6:00,0,-7.3,0,-16.12,78.6,2.1,1.88,23.04,
1/7/2013 7:00,0,-7.6,0,2.76,81.4,316.3,1.22,23.33,
1/7/2013 8:00,0,-6.4,0,-0.64,80.5,21,1.98,23.76,
1/7/2013 9:00,1.2,-4.6,18.98,-1.27,93.8,310.2,1.71,24.35,
1/7/2013 10:00,1.7,-4.7,79.9,-14.84,98.1,79,2.32,25.05,
1/7/2013 11:00,2.6,-3.6,108.9,-23.31,98.1,103,1.68,25.84,
1/7/2013 12:00,3.6,-3.2,86.5,-19.49,97.5,125.7,1.47,26.72,
1/7/2013 13:00,4.9,-3.3,63.02,-15.68,98.6,115.1,2.76,27.7,
1/7/2013 14:00,6,-3.1,62.97,-21.61,99.3,109.3,2.47,28.75,
1/7/2013 15:00,6.7,-2.7,35.12,-13.56,98.8,96.1,2.37,29.76,
1/7/2013 16:00,7.2,-2.5,32.86,-16.1,98.3,3.2,1.87,30.6,
1/7/2013 17:00,7.6,-2.5,11.14,-3.18,97.9,306.7,2.47,31.19,
1/7/2013 18:00,7.8,-2.7,0,0.21,99.7,304.7,2.69,31.58,
1/7/2013 19:00,8.1,-2.5,0,-3.18,100,302,3.39,31.83,
1/7/2013 20:00,8.1,-1.1,0,-0.21,100,306.7,4.89,31.97,
1/7/2013 21:00,8.1,-0.6,0,-11.23,99.5,293.5,4.82,32,
1/7/2013 22:00,8.1,-0.5,0,-4.02,98,292.2,4.57,31.91,
1/7/2013 23:00,8.1,-0.5,0,-3.6,97.1,298.9,5.8,31.79,
1/8/2013 0:00,8.1,-0.6,0,-6.35,97.2,299.5,5.3,31.71,
1/8/2013 1:00,8.1,-0.7,0,-1.06,96.4,299.9,5.59,31.64,
1/8/2013 2:00,8.1,-1.1,0,-3.6,97.2,301.3,5.26,31.56,
1/8/2013 3:00,8.2,-1.2,0,0.21,97,301.1,4.38,31.48,
1/8/2013 4:00,8.2,-1.1,0,-3.6,96.8,300.7,4.31,31.42,
1/8/2013 5:00,8.2,-1.1,0,-4.03,94.8,306.6,6.57,31.38,
1/8/2013 6:00,8.2,-1.4,0,-8.9,95.1,300.1,5.85,31.37,
1/8/2013 7:00,8.2,-1.7,0,-6.36,94.5,294.9,5.47,31.39,
1/8/2013 8:00,8.5,-1.6,0,-0.21,95.6,314.1,5.5,31.43,
1/8/2013 9:00,8.6,-1.6,15.83,-8.47,99.1,331.6,4.21,31.48,
1/8/2013 10:00,8.9,-1.3,39.5,-24.57,100,295.1,2.88,31.54,
1/8/2013 11:00,9,-0.7,49.7,-62.69,100,302.3,4.24,31.6,
1/8/2013 12:00,9.3,-0.3,54.13,-62.05,98.3,298.3,3.26,31.64,
1/8/2013 13:00,9.4,0.1,62.89,-80.9,97.7,300.8,3.72,31.66,
1/8/2013 14:00,9.8,0.4,60.08,-89.8,94.9,289.8,3.39,31.64,
1/8/2013 15:00,9.8,0.8,120.9,37.69,90.7,301.5,3.19,31.6,
1/8/2013 16:00,9.8,1.6,75.8,9.74,85.7,272.2,2.56,31.52,
1/8/2013 17:00,9.8,1,24.2,2.75,88.9,18.8,1.33,31.43,
1/8/2013 18:00,9.8,1.1,1.17,-0.64,88.7,354.9,0.92,31.32,
1/8/2013 19:00,9.8,1.3,1.17,-1.06,87.6,305.6,1.25,31.22,
1/8/2013 20:00,9.8,1.5,1.17,-1.06,87.2,358.5,1.4,31.12,
1/8/2013 21:00,9.8,1.7,1.17,-11.43,86,35.3,1.72,31.05,
1/8/2013 22:00,9.8,1.9,1.17,-9.11,85,85.5,6.85,31.01,
1/8/2013 23:00,9.8,1.6,0,-31.76,86.9,76.6,7.95,30.99,
1/9/2013 0:00,9.8,1.6,0,-39.39,86.3,75.9,8.97,30.98,
1/9/2013 1:00,9.8,1.8,0,-37.48,83.8,85.8,13.05,30.98,
1/9/2013 2:00,9.8,1.6,0,-29.43,84.1,86.8,14.68,30.98,
1/9/2013 3:00,9.8,1.6,0,-14.4,83,87.4,12.1,30.97,
1/9/2013 4:00,9.8,1.7,0,-34.73,82.3,87.9,14.76,30.96,
1/9/2013 5:00,9.8,2.3,0,-31.76,77.6,89.2,13.58,30.94,
1/9/2013 6:00,9.8,2.9,0,-10.59,74.1,96.5,15.8,30.89,
1/9/2013 7:00,9.8,3,0,-4.24,72.7,100.3,13.41,30.8,
1/9/2013 8:00,9.8,3.3,1.8,-8.05,71,94.2,13.63,30.65,
1/9/2013 9:00,9.8,3.3,18.16,-4.23,70.5,90.3,14.46,30.46,
1/9/2013 10:00,9.8,3.6,51.37,-0.42,68.31,92.4,13.9,30.21,
1/9/2013 11:00,9.8,4.4,122.3,4.02,62.22,103.3,13.23,29.93,
1/9/2013 12:00,9.8,4.6,209.3,16.09,59.24,98,14.01,29.62,
1/9/2013 13:00,9.8,4.7,238.6,18.2,57.51,105.9,12.46,29.31,
1/9/2013 14:00,9.8,4.8,183.7,6.35,56.83,117.6,8.02,29.01,
1/9/2013 15:00,9.8,4.7,128.4,1.91,57.09,106.8,7.28,28.75,
1/9/2013 16:00,9.8,4.7,68.68,-7.83,54.84,96.1,6.72,28.53,
1/9/2013 17:00,9.8,4.6,19.53,-11.85,53.64,105.5,6.4,28.36,
1/9/2013 18:00,9.8,4.9,5.81,-15.24,50.28,139.1,6.67,28.24,
1/9/2013 19:00,9.8,4.7,4.91,-14.39,50.42,155.5,6.31,28.15,
1/9/2013 20:00,9.8,4.9,5.31,-13.12,50.31,169.3,5.83,28.1,
1/9/2013 21:00,9.8,3.8,8.39,-17.99,56.32,153.7,4.29,28.12,
1/9/2013 22:00,9.8,2.8,9.3,-13.55,62.29,152.4,3.83,28.18,
1/9/2013 23:00,9.8,2.8,9.37,-8.47,65.48,148.6,7.56,28.27,
1/10/2013 0:00,9.8,1.7,9.3,-6.35,79.7,153.7,5.98,28.41,
1/10/2013 1:00,10.9,-2,7.03,-1.91,96.9,141.3,1.7,28.61,
1/10/2013 2:00,11.8,-3.1,5.86,1.06,100,248.2,1.03,28.9,
1/10/2013 3:00,12.1,-4,4.69,3.81,100,286.9,1.81,29.25,
1/10/2013 4:00,12.4,-4.6,4.64,-2.76,100,305.5,3.72,29.65,
1/10/2013 5:00,13.3,-4.7,3.91,-1.48,99.6,289.1,3.89,30.11,
1/10/2013 6:00,14.3,-5.4,2.35,4.45,98.7,292.6,5.31,30.55,
1/10/2013 7:00,15.8,-6.2,0.18,-11.23,98.2,298,5.99,31,
1/10/2013 8:00,16.2,-6.4,0,0.21,98.1,290,5.66,31.5,
1/10/2013 9:00,16.2,-6.6,15.83,39.21,98.3,276.6,5.28,32.03,
1/10/2013 10:00,17.1,-7.4,61.7,2.33,97.1,267.7,4.77,32.63,
1/10/2013 11:00,18.4,-7.5,136.8,-0.21,97.1,289.4,5.38,33.27,
1/10/2013 12:00,20.6,-7.3,217.3,2.76,96.6,284,6.16,33.94,
1/10/2013 13:00,21.5,-7.3,308.4,27.13,96.5,290.5,6.52,34.6,
1/10/2013 14:00,22.5,-6.7,383.1,-2.76,96.4,284.8,6.77,35.26,
1/10/2013 15:00,23.8,-6.8,275.7,4.66,96,285.9,7.18,36.02,
1/10/2013 16:00,24.9,-7.6,160.4,11.66,95.9,293.2,8.43,36.86,
1/10/2013 17:00,26.6,-8,37.7,-1.48,96.5,288.3,6.66,37.76,
1/10/2013 18:00,27.9,-8.3,0,0,96.4,282.9,5.61,38.66,
1/10/2013 19:00,28.3,-8.7,0,-3.18,96.3,289.1,6.1,39.55,
1/10/2013 20:00,29,-8.6,0,-2.76,96.4,288.9,4.52,40.4,
1/10/2013 21:00,29.5,-8.7,0,-8.48,96.3,313.5,4.95,41.18,
1/10/2013 22:00,30,-8.8,0,-2.76,96.2,291.4,4.46,41.86,
1/10/2013 23:00,30.4,-8.9,0,-7.21,95.9,296.5,7.06,42.42,
1/11/2013 0:00,30.5,-9.1,0,-7,95.8,312.8,7.77,42.83,
1/11/2013 1:00,30.7,-9.3,0,-4.67,95.6,337.4,9.79,43.13,
1/11/2013 2:00,30.9,-9.4,0,-8.06,95.7,333.6,9.49,43.35,
1/11/2013 3:00,30.9,-9.5,0,-5.09,95.6,332.8,10.04,43.54,
1/11/2013 4:00,31,-9.5,0,-6.15,95.6,319.8,7.62,43.73,
1/11/2013 5:00,31.2,-9.6,0,-12.3,95.5,316.9,7.99,43.97,
1/11/2013 6:00,31.4,-9.7,0,-25.66,95.3,335.3,11.67,44.12,
1/11/2013 7:00,31.4,-10.1,0,-18.66,94.9,327.2,11.77,44.25,
1/11/2013 8:00,31.4,-10.4,0,-23.33,94.6,325.4,10.89,44.39,
1/11/2013 9:00,31.4,-10.7,35.7,-34.15,94.4,331.6,11.44,44.51,
1/11/2013 10:00,31.4,-10.9,134.6,-15.7,94,333.5,9.71,44.61,
1/11/2013 11:00,31.4,-10.4,465.9,-57.27,93,338.8,9.94,44.68,
1/11/2013 12:00,31.4,-10.6,465,-18.66,90.2,347,11.73,44.65,
1/11/2013 13:00,31.4,-10.1,469,75.7,86.5,338.8,9.06,44.54,
1/11/2013 14:00,31.4,-9.9,426.7,102.2,85.9,338.4,9.01,44.43,
1/11/2013 15:00,31.4,-10.1,283.6,42.2,86.6,338.1,8.28,44.35,
1/11/2013 16:00,31.4,-10.3,64.72,-7.63,87.6,339.7,7.11,44.28,
1/11/2013 17:00,31.4,-11,16.86,-39.02,90.6,353.4,7.7,44.24,
1/11/2013 18:00,31.4,-11.2,0.13,-48.37,91.2,356.5,11.01,44.23,
1/11/2013 19:00,31.4,-11.5,0,-46.89,90.6,5.1,13.51,44.23,
1/11/2013 20:00,31.4,-11.8,0,-44.76,89.5,11,9.87,44.22,
1/11/2013 21:00,31.4,-12.1,0,-57.72,86.4,29.8,7.5,44.19,
1/11/2013 22:00,31.4,-12.2,0,-49.23,76.2,25.8,7.13,44.13,
1/11/2013 23:00,31.4,-12.4,0,-42.23,70.8,21.4,8.65,44.03,
1/12/2013 0:00,31.4,-12.3,0,-43.5,63.93,3.9,9.15,43.9,
1/12/2013 1:00,31.4,-13,0,-40.75,64.11,4.7,2.34,43.74,
1/12/2013 2:00,31.4,-13.1,0,-40.76,62.37,305.4,3.25,43.59,
1/12/2013 3:00,31.4,-13.6,0,-40.76,69.95,311.7,3.42,43.45,
1/12/2013 4:00,31.4,-13.8,0,-36.09,72.8,310.6,2.5,43.32,
1/12/2013 5:00,31.4,-14.1,0,-42.47,73.6,325.3,2.2,43.18,
1/12/2013 6:00,31.4,-14,0,-38.22,72.1,338,3.48,43.04,
1/12/2013 7:00,31.4,-14.2,0,-50.96,69.87,314.4,3.18,42.87,
1/12/2013 8:00,31.4,-14.2,0.01,-42.04,74.5,297.3,3.26,42.69,
1/12/2013 9:00,31.4,-14.1,86.2,-71.1,75.8,314.8,2.86,42.51,
1/12/2013 10:00,31.4,-11.8,272.1,-33.54,65.26,317.3,2.49,42.34,
1/12/2013 11:00,31.4,-11.1,440.4,14.43,58.64,340.7,3.86,42.19,
1/12/2013 12:00,31.4,-11.3,538.7,68.1,59.62,339.4,5.36,42.06,
1/12/2013 13:00,31.4,-11,567.8,121.7,56.66,332.7,6.07,41.95,
1/12/2013 14:00,31.4,-10.6,526.1,142.1,62.19,310,4.14,41.86,
1/12/2013 15:00,31.4,-10.8,419.4,120.8,74.1,216.2,1.78,41.8,
1/12/2013 16:00,31.4,-11.7,150.8,-39.86,78.8,278.7,2.4,41.75,
1/12/2013 17:00,31.4,-12.4,52.98,-29.7,68.4,339.7,6.57,41.73,
1/12/2013 18:00,31.4,-13,0.24,-39.9,71.9,2.5,7.36,41.71,
1/12/2013 19:00,31.4,-13,0,-12.31,72.6,20.3,5.24,41.69,
1/12/2013 20:00,31.4,-13.1,0,-28.65,75.9,308.8,1.35,41.66,
1/12/2013 21:00,31.4,-14.1,0,-39.06,79.2,358.7,2.67,41.62,
1/12/2013 22:00,31.4,-13.3,0,-48.61,76.4,11.1,6.88,41.55,
1/12/2013 23:00,31.4,-12.5,0,-48.39,72.6,9.1,6.75,41.46,
1/13/2013 0:00,31.4,-12.2,0,-48.82,69.73,357.9,8.1,41.36,
1/13/2013 1:00,31.4,-12.2,0,-46.69,65.44,0.4,6.55,41.27,
1/13/2013 2:00,31.4,-12.6,0,-43.93,59.53,8.4,4.63,41.18,
1/13/2013 3:00,31.4,-12.8,0,-41.18,59.16,4,3.63,41.09,
1/13/2013 4:00,31.4,-13.9,0,-28.66,67.76,299.3,2.57,40.99,
1/13/2013 5:00,31.4,-15.8,0,-23.99,89.1,308.1,2.55,40.87,
1/13/2013 6:00,31.4,-15.6,0,-32.06,90.1,323.3,1.79,40.72,
1/13/2013 7:00,31.4,-15.9,0,-29.3,88.7,349.5,1.86,40.55,
1/13/2013 8:00,31.4,-16,0.16,-39.08,91.7,313.4,1.05,40.36,
1/13/2013 9:00,31.4,-16.1,68.59,-56.71,90.5,300.9,0.95,40.16,
1/13/2013 10:00,31.4,-12.8,312.5,-35.46,77.7,279.6,1.22,39.95,
1/13/2013 11:00,31.4,-11.4,463.2,13.58,69.61,252.1,1.85,39.75,
1/13/2013 12:00,31.4,-10.7,592.9,72.5,66.2,203,1.44,39.58,
1/13/2013 13:00,31.4,-10.7,682.4,180.2,70.2,190.1,1.78,39.44,
1/13/2013 14:00,31.4,-11.2,758,183.4,73.2,190.3,1.79,39.35,
1/13/2013 15:00,31.4,-11.9,465.1,46.63,76.8,196.5,1.73,39.31,
1/13/2013 16:00,31.4,-13.5,139.3,1.91,84.6,227.9,1.53,39.33,
1/13/2013 17:00,31.4,-14.5,66.84,-35.22,90.2,220.6,1.06,39.37,
1/13/2013 18:00,31.4,-15.2,0.27,-43.51,89.8,342.9,1.91,39.44,
1/13/2013 19:00,31.4,-15,0,-36.94,84.1,359.6,2.58,39.5,
