2007 Treeline Meterological Hourly Data (Summary),,,,,,,,
,,,,,,,,
Reference Dataset with the following format:,,,,,,,,
,"[Year of data collection] Meteorological data from Dry Creek Experimental Watershed. Watershed Process Research Group, Boise State University",,,,,,,
, URL: earth.boisestate.edu/drycreek. Multi-paged. [month and day of data download].,,,,,,,
,,,,,,,,
,,,,,,,,
,Column.Variable-units| Description,,,,,,,
,1. DateTime| Time stamp of variable collection time [MM/DD/YY  hr:mm],,,,,,,
,2. Precipitation-mm| Cumulative Shielded Rain gage Depth [mm],,,,,,,
,"3. AirTemperature-C| Air Temperature at 2m above ground, Averaged [C]",,,,,,,
,"4. SolarRadiation-Watts/m2| Solar Radiation, Averaged [Watts/m2]",,,,,,,
,"5. Net Radiation-Watts/m2| Net Radiation, Averaged [Watts/m2]",,,,,,,
,"6. Relative Humidity-%| Relative Humidity at 2m above ground , Averaged [%]",,,,,,,
,7. Wind Direction-Degree| Mean Resultant Wind Direction at 2m above ground [Degree],,,,,,,
,"8. Wind Speed-m/s| Wind Speed at 2m above ground, Averaged [m/s]",,,,,,,
,"9.Snow Depth-cm| Filtered depth of snow above ground, Acoustic Sensor [cm]",,,,,,,
,Note: -6999 denotes missing data,,,,,,,
,,,,,,,,
DateTime,Precipitation-mm,AirTemperature-C,SolarRadiation-Watts/m2,NetRadiation-Watts/m2,RelativeHumidity-%,WindDirection-Degree,WindSpeed-m/s,SnowDepth-cm
01/01/07 00:00,0.00,-5.0,0.00,-6999,-4.95,288.6,0.94,0.00
01/01/07 01:00,0.00,-4.8,0.00,-6999,-4.84,245.8,0.44,0.00
01/01/07 02:00,0.00,-4.6,0.00,-6999,-4.59,245.9,0.77,0.00
01/01/07 03:00,0.00,-3.7,0.00,-6999,-3.75,328.1,1.22,0.00
01/01/07 04:00,0.00,-3.2,0.00,-6999,-3.17,330.3,0.88,0.00
01/01/07 05:00,0.00,-3.7,0.00,-6999,-3.71,329.4,0.73,0.00
01/01/07 06:00,0.00,-3.7,0.00,-6999,-3.66,13.4,0.91,0.00
01/01/07 07:00,0.00,-3.4,0.00,-6999,-3.43,349.2,1.38,0.00
01/01/07 08:00,0.00,-4.1,0.00,-6999,-4.13,311.8,0.70,0.00
01/01/07 09:00,0.00,-4.5,0.67,-6999,-4.45,326.5,0.53,0.00
01/01/07 10:00,0.00,-2.9,8.73,-6999,-2.87,133.4,0.78,0.00
01/01/07 11:00,0.00,-0.8,17.52,-6999,-0.78,197.5,0.68,0.00
01/01/07 12:00,0.00,-0.5,23.77,-6999,-0.51,253.4,0.66,0.00
01/01/07 13:00,0.00,-0.2,25.10,-6999,-0.19,222.1,0.64,0.00
01/01/07 14:00,0.00,-0.9,21.51,-6999,-0.90,192.2,0.60,0.00
01/01/07 15:00,0.00,-2.0,13.86,-6999,-2.02,292.0,0.85,0.00
01/01/07 16:00,0.00,-0.8,9.19,-6999,-0.81,310.8,0.71,0.00
01/01/07 17:00,0.00,-1.0,2.85,-6999,-1.03,176.0,1.37,0.00
01/01/07 18:00,0.00,0.0,0.22,-6999,-0.03,332.9,0.79,0.00
01/01/07 19:00,0.00,-1.5,0.00,-6999,-1.52,342.7,0.27,0.00
01/01/07 20:00,0.00,-1.5,0.00,-6999,-1.54,5.5,0.17,0.00
01/01/07 21:00,0.00,-1.2,0.00,-6999,-1.25,331.8,0.57,0.00
01/01/07 22:00,0.00,-1.1,0.00,-6999,-1.10,326.5,0.82,0.00
01/01/07 23:00,0.00,-0.7,0.00,-6999,-0.67,330.2,0.96,0.00
01/02/07 00:00,0.00,-0.3,0.00,-6999,-0.27,1.9,0.97,0.00
01/02/07 01:00,0.00,0.7,0.00,-6999,0.70,1.1,0.37,0.00
01/02/07 02:00,0.00,0.8,0.00,-6999,0.76,59.6,0.53,0.00
01/02/07 03:00,0.00,1.4,0.00,-6999,1.40,8.4,0.30,0.00
01/02/07 04:00,0.00,1.4,0.00,-6999,1.36,94.2,0.07,0.00
01/02/07 05:00,0.00,1.3,0.00,-6999,1.31,102.7,0.74,0.00
01/02/07 06:00,0.00,1.8,0.00,-6999,1.82,135.3,1.36,0.00
01/02/07 07:00,0.00,2.0,0.00,-6999,2.01,127.6,1.42,0.00
01/02/07 08:00,0.00,1.2,0.00,-6999,1.25,140.7,1.14,0.00
01/02/07 09:00,0.00,1.4,0.68,-6999,1.40,112.3,1.30,0.00
01/02/07 10:00,0.00,2.2,5.81,-6999,2.18,150.6,1.90,0.40
01/02/07 11:00,0.00,2.9,10.15,-6999,2.92,152.7,2.57,2.64
01/02/07 12:00,2.51,3.7,17.50,-6999,3.71,158.0,2.54,4.02
01/02/07 13:00,2.51,2.8,12.26,-6999,2.80,198.2,1.34,0.22
01/02/07 14:00,2.51,1.1,10.51,-6999,1.13,160.2,1.70,0.00
01/02/07 15:00,2.51,2.8,6.97,-6999,2.84,122.2,2.41,3.65
01/02/07 16:00,2.51,2.3,4.11,-6999,2.31,145.5,2.33,0.00
01/02/07 17:00,2.51,0.8,1.19,-6999,0.78,135.9,3.35,0.00
01/02/07 18:00,2.51,3.5,0.08,-6999,3.49,138.3,2.83,2.91
01/02/07 19:00,2.51,3.5,0.00,-6999,3.55,147.2,2.70,1.21
01/02/07 20:00,2.51,3.8,0.00,-6999,3.79,151.4,2.94,2.36
01/02/07 21:00,2.51,2.5,0.00,-6999,2.49,143.6,2.12,1.08
01/02/07 22:00,2.51,3.7,0.00,-6999,3.72,133.9,5.36,2.91
01/02/07 23:00,2.51,4.4,0.00,-6999,4.39,142.3,3.75,2.48
01/03/07 00:00,2.51,4.3,0.00,-6999,4.30,156.4,2.21,2.39
01/03/07 01:00,2.51,4.3,0.00,-6999,4.27,146.0,3.29,2.39
01/03/07 02:00,2.51,3.9,0.00,-6999,3.90,140.3,3.52,2.39
01/03/07 03:00,2.51,4.3,0.00,-6999,4.33,157.5,2.67,2.93
01/03/07 04:00,2.51,4.8,0.00,-6999,4.85,164.2,2.98,4.22
01/03/07 05:00,2.51,5.3,0.00,-6999,5.29,183.3,1.96,3.88
01/03/07 06:00,2.51,5.3,0.00,-6999,5.27,196.9,1.42,4.28
01/03/07 07:00,2.51,4.8,0.00,-6999,4.80,219.1,0.65,2.45
01/03/07 08:00,2.51,4.5,0.00,-6999,4.50,215.6,1.11,2.93
01/03/07 09:00,2.51,4.7,0.29,-6999,4.67,220.8,0.51,3.06
01/03/07 10:00,2.51,4.9,1.64,-6999,4.88,219.7,0.73,3.88
01/03/07 11:00,2.51,4.9,3.29,-6999,4.95,250.9,1.03,2.72
01/03/07 12:00,2.51,4.5,3.22,-6999,4.52,229.5,0.91,3.39
01/03/07 13:00,2.51,3.3,2.73,-6999,3.34,185.0,1.35,1.23
