2001 Treeline Meterological Hourly Data (Summary),,,,,,,,
,,,,,,,,
Reference Dataset with the following format:,,,,,,,,
,"[Year of data collection] Meteorological data from Dry Creek Experimental Watershed. Watershed Process Research Group, Boise State University",,,,,,,
, URL: earth.boisestate.edu/drycreek. Multi-paged. [month and day of data download].,,,,,,,
,,,,,,,,
,,,,,,,,
,Column.Variable-units| Description,,,,,,,
,1. DateTime| Time stamp of variable collection time [MM/DD/YY  hr:mm],,,,,,,
,2. Precipitation-mm| Cumulative Shielded Rain gage Depth [mm],,,,,,,
,"3. AirTemperature-C| Air Temperature at 2m above ground, Averaged [C]",,,,,,,
,"4. SolarRadiation-Watts/m2| Solar Radiation, Averaged [Watts/m2]",,,,,,,
,"5. Net Radiation-Watts/m2| Net Radiation, Averaged [Watts/m2]",,,,,,,
,"6. Relative Humidity-%| Relative Humidity at 2m above ground , Averaged [%]",,,,,,,
,7. Wind Direction-Degree| Mean Resultant Wind Direction at 2m above ground [Degree],,,,,,,
,"8. Wind Speed-m/s| Wind Speed at 2m above ground, Averaged [m/s]",,,,,,,
,"9.Snow Depth-cm| Filtered depth of snow above ground, Acoustic Sensor [cm]",,,,,,,
,Note: -6999 denotes missing data,,,,,,,
,,,,,,,,
DateTime,Precipitation-mm,AirTemperature-C,SolarRadiation-Watts/m2,NetRadiation-Watts/m2,RelativeHumidity-%,WindDirection-Degree,WindSpeed-m/s,SnowDepth-cm
01/03/01 09:00,0.18,-0.6,101.02,-6999,40.95,37.0,1.06,57.22
01/03/01 10:00,0.18,2.7,233.98,-6999,30.84,157.4,0.64,56.50
01/03/01 11:00,0.18,3.2,343.40,-6999,34.35,190.2,0.55,56.56
01/03/01 12:00,0.18,5.5,397.20,-6999,25.93,275.5,0.62,56.59
01/03/01 13:00,0.18,4.6,388.83,-6999,31.72,200.6,0.41,56.37
01/03/01 14:00,0.18,3.2,344.23,-6999,36.25,189.2,0.65,56.39
01/03/01 15:00,0.18,5.5,265.10,-6999,25.54,190.3,1.64,56.40
01/03/01 16:00,0.18,5.3,70.61,-6999,26.80,145.7,2.73,57.38
01/03/01 17:00,0.18,-1.8,11.15,-6999,68.00,113.6,2.29,57.30
01/03/01 18:00,0.18,1.8,0.00,-6999,37.35,140.6,1.46,57.28
01/03/01 19:00,0.18,-0.3,0.00,-6999,49.03,283.2,0.72,57.26
01/03/01 20:00,0.18,1.6,0.00,-6999,38.91,133.5,2.35,57.25
01/03/01 21:00,0.18,2.6,0.00,-6999,32.50,138.4,2.03,57.28
01/03/01 22:00,0.18,-1.3,0.00,-6999,55.76,324.3,0.78,57.26
01/03/01 23:00,0.18,1.2,0.00,-6999,38.81,116.4,1.09,57.74
01/04/01 00:00,0.18,3.1,0.00,-6999,33.28,93.8,1.13,57.26
01/04/01 01:00,0.18,2.9,0.00,-6999,35.85,1.0,0.75,57.77
01/04/01 02:00,0.18,3.4,0.00,-6999,33.92,15.5,0.83,57.30
01/04/01 03:00,0.18,3.1,0.00,-6999,32.71,17.8,1.00,57.30
01/04/01 04:00,0.18,3.1,0.00,-6999,32.08,331.5,0.63,56.79
01/04/01 05:00,0.18,3.5,0.00,-6999,31.87,19.1,0.85,57.78
01/04/01 06:00,0.18,3.9,0.00,-6999,32.75,318.6,0.49,56.56
01/04/01 07:00,0.18,3.0,0.00,-6999,33.15,339.0,0.45,56.81
01/04/01 08:00,0.18,3.3,6.39,-6999,31.05,347.6,0.76,56.54
01/04/01 09:00,0.18,2.0,49.57,-6999,36.64,53.0,0.69,56.54
01/04/01 10:00,0.18,2.8,107.28,-6999,34.26,346.0,0.35,56.81
01/04/01 11:00,0.18,4.1,230.05,-6999,30.65,338.4,0.66,56.33
01/04/01 12:00,0.18,6.0,379.18,-6999,31.04,163.7,0.48,54.87
01/04/01 13:00,0.18,5.4,316.03,-6999,36.91,197.8,0.53,54.91
01/04/01 14:00,0.18,6.5,257.08,-6999,25.54,170.1,0.28,54.43
01/04/01 15:00,0.18,6.3,204.78,-6999,24.94,128.8,0.61,54.92
01/04/01 16:00,0.18,7.6,71.71,-6999,21.15,145.7,0.70,55.91
01/04/01 17:00,0.18,7.4,8.46,-6999,20.29,158.3,0.17,55.88
01/04/01 18:00,0.18,6.5,0.00,-6999,19.70,0.0,0.00,55.85
01/04/01 19:00,0.18,6.1,0.00,-6999,20.84,332.8,0.03,55.85
01/04/01 20:00,0.18,5.6,0.00,-6999,22.74,16.6,0.22,55.83
01/04/01 21:00,0.18,1.3,0.00,-6999,46.82,295.1,0.72,55.81
01/04/01 22:00,0.18,2.5,0.00,-6999,35.80,102.1,0.93,55.30
01/04/01 23:00,0.18,4.7,0.00,-6999,28.04,109.4,1.77,55.32
01/05/01 00:00,0.18,6.3,0.00,-6999,22.30,130.1,3.09,54.36
01/05/01 01:00,0.18,5.7,0.00,-6999,25.20,126.5,2.16,54.37
01/05/01 02:00,0.18,4.8,0.00,-6999,29.05,135.7,1.86,54.37
01/05/01 03:00,0.18,5.4,0.00,-6999,28.17,131.3,3.23,54.85
01/05/01 04:00,0.18,4.7,0.00,-6999,31.51,123.5,1.43,55.36
01/05/01 05:00,0.18,5.6,0.00,-6999,28.73,135.6,2.76,54.86
01/05/01 06:00,0.18,5.8,0.00,-6999,29.36,140.5,2.73,54.37
01/05/01 07:00,0.18,3.6,0.00,-6999,36.18,156.8,0.98,55.35
01/05/01 08:00,0.18,5.2,5.98,-6999,31.10,138.2,2.96,53.85
01/05/01 09:00,0.18,4.8,100.20,-6999,31.83,272.9,0.82,53.88
01/05/01 10:00,0.18,6.5,241.18,-6999,26.96,151.5,1.38,53.63
01/05/01 11:00,0.18,8.3,348.90,-6999,23.84,202.9,0.72,52.92
01/05/01 12:00,0.18,7.6,227.78,-6999,26.82,231.7,0.71,53.44
01/05/01 13:00,0.18,6.2,341.13,-6999,29.50,220.7,0.46,52.95
01/05/01 14:00,0.18,8.0,298.73,-6999,25.85,177.5,0.19,52.71
01/05/01 15:00,0.18,7.6,237.58,-6999,30.06,299.9,0.86,53.22
01/05/01 16:00,0.18,6.1,74.33,-6999,35.16,299.0,1.19,53.45
01/05/01 17:00,0.18,4.8,16.25,-6999,36.71,325.5,1.12,53.91
01/05/01 18:00,0.18,4.6,0.00,-6999,37.52,317.1,1.34,53.88
01/05/01 19:00,0.18,4.3,0.00,-6999,42.42,315.5,0.83,53.38
01/05/01 20:00,0.18,4.3,0.00,-6999,49.86,318.9,0.82,53.85
