2002 Treeline Meterological Hourly Data (Summary),,,,,,,,
,,,,,,,,
Reference Dataset with the following format:,,,,,,,,
,"[Year of data collection] Meteorological data from Dry Creek Experimental Watershed. Watershed Process Research Group, Boise State University",,,,,,,
, URL: earth.boisestate.edu/drycreek. Multi-paged. [month and day of data download].,,,,,,,
,,,,,,,,
,,,,,,,,
,Column.Variable-units| Description,,,,,,,
,1. DateTime| Time stamp of variable collection time [MM/DD/YY  hr:mm],,,,,,,
,2. Precipitation-mm| Cumulative Shielded Rain gage Depth [mm],,,,,,,
,"3. AirTemperature-C| Air Temperature at 2m above ground, Averaged [C]",,,,,,,
,"4. SolarRadiation-Watts/m2| Solar Radiation, Averaged [Watts/m2]",,,,,,,
,"5. Net Radiation-Watts/m2| Net Radiation, Averaged [Watts/m2]",,,,,,,
,"6. Relative Humidity-%| Relative Humidity at 2m above ground , Averaged [%]",,,,,,,
,7. Wind Direction-Degree| Mean Resultant Wind Direction at 2m above ground [Degree],,,,,,,
,"8. Wind Speed-m/s| Wind Speed at 2m above ground, Averaged [m/s]",,,,,,,
,"9.Snow Depth-cm| Filtered depth of snow above ground, Acoustic Sensor [cm]",,,,,,,
,Note: -6999 denotes missing data,,,,,,,
,,,,,,,,
DateTime,Precipitation-mm,AirTemperature-C,SolarRadiation-Watts/m2,NetRadiation-Watts/m2,RelativeHumidity-%,WindDirection-Degree,WindSpeed-m/s,SnowDepth-cm
01/01/02 00:00,0.00,-1.5,0.00,-6999,93.40,313.8,0.47,65.15
01/01/02 01:00,0.00,-1.2,0.00,-6999,92.50,355.1,0.51,65.15
01/01/02 02:00,0.00,-0.3,0.00,-6999,89.00,41.3,1.32,65.15
01/01/02 03:00,0.03,0.1,0.00,-6999,88.50,44.4,1.63,65.17
01/01/02 04:00,0.04,-1.5,0.00,-6999,92.40,335.8,1.09,65.16
01/01/02 05:00,0.09,-1.5,0.00,-6999,96.10,329.0,0.57,65.15
01/01/02 06:00,0.18,-3.5,0.00,-6999,96.50,300.4,1.19,64.63
01/01/02 07:00,0.18,-1.6,0.00,-6999,96.40,336.6,0.90,64.63
01/01/02 08:00,0.18,-3.2,3.46,-6999,98.50,50.9,1.18,64.13
01/01/02 09:00,0.18,-2.7,46.19,-6999,97.40,324.5,1.00,64.62
01/01/02 10:00,0.18,-1.7,92.73,-6999,94.30,155.1,1.93,64.63
01/01/02 11:00,0.18,-0.8,253.70,-6999,91.80,142.9,4.09,64.16
01/01/02 12:00,0.18,0.1,500.88,-6999,84.20,140.4,5.28,64.68
01/01/02 13:00,0.18,1.3,366.45,-6999,76.90,156.5,4.60,64.95
01/01/02 14:00,0.18,1.3,328.30,-6999,76.10,152.3,5.03,64.71
01/01/02 15:00,0.18,1.3,173.03,-6999,75.10,159.1,4.79,64.71
01/01/02 16:00,0.18,-0.3,87.18,-6999,85.70,179.8,1.94,64.20
01/01/02 17:00,0.18,-0.8,14.56,-6999,85.50,141.2,2.26,64.67
01/01/02 18:00,0.18,1.1,0.00,-6999,70.50,143.5,6.06,64.19
01/01/02 19:00,0.18,0.0,0.00,-6999,72.20,143.3,4.14,64.67
01/01/02 20:00,0.26,0.6,0.00,-6999,65.41,140.1,5.91,64.68
01/01/02 21:00,0.30,0.6,0.00,-6999,62.84,136.0,8.06,63.19
01/01/02 22:00,0.66,0.8,0.00,-6999,60.77,135.2,8.46,59.75
01/01/02 23:00,0.73,0.9,0.00,-6999,59.86,139.6,9.12,59.75
01/02/02 00:00,0.73,0.7,0.00,-6999,63.47,134.9,10.08,59.25
01/02/02 01:00,0.83,0.7,0.00,-6999,62.76,134.8,10.23,59.75
01/02/02 02:00,0.83,1.0,0.00,-6999,60.16,138.2,9.42,60.73
01/02/02 03:00,0.83,1.1,0.00,-6999,59.33,136.8,7.92,60.24
01/02/02 04:00,0.83,1.5,0.00,-6999,57.36,140.1,7.07,60.24
01/02/02 05:00,0.83,1.3,0.00,-6999,58.51,143.4,7.30,60.25
01/02/02 06:00,0.83,1.5,0.00,-6999,58.87,145.3,6.70,59.75
01/02/02 07:00,1.06,1.5,0.00,-6999,60.83,143.8,6.87,59.76
01/02/02 08:00,1.23,1.6,2.52,-6999,59.28,140.8,7.79,59.77
01/02/02 09:00,1.69,2.3,50.49,-6999,56.65,140.7,8.18,59.28
01/02/02 10:00,1.69,1.9,74.35,-6999,58.16,151.7,5.35,59.28
01/02/02 11:00,1.69,1.3,141.48,-6999,60.86,146.7,4.85,58.79
01/02/02 12:00,1.72,2.1,142.05,-6999,58.08,142.0,5.83,59.28
01/02/02 13:00,1.72,2.2,111.28,-6999,60.95,149.3,4.76,58.79
01/02/02 14:00,1.72,1.6,103.03,-6999,72.50,145.9,4.66,58.79
01/02/02 15:00,1.72,2.3,132.88,-6999,72.50,150.3,4.23,59.28
01/02/02 16:00,1.72,2.4,43.29,-6999,70.30,139.1,4.69,58.79
01/02/02 17:00,1.72,2.3,5.83,-6999,74.10,141.1,4.09,58.29
01/02/02 18:00,1.72,1.4,0.00,-6999,78.60,153.5,3.79,58.29
01/02/02 19:00,1.76,2.0,0.00,-6999,76.80,137.3,4.84,58.29
01/02/02 20:00,1.84,1.8,0.00,-6999,83.40,151.0,3.07,58.05
01/02/02 21:00,1.87,1.7,0.00,-6999,86.30,144.2,2.92,58.04
01/02/02 22:00,1.87,1.0,0.00,-6999,89.50,144.8,2.36,58.29
01/02/02 23:00,1.87,0.8,0.00,-6999,90.90,141.0,2.50,57.78
01/03/02 00:00,1.87,0.2,0.00,-6999,90.60,165.6,2.06,57.29
01/03/02 01:00,1.92,0.3,0.00,-6999,92.00,140.2,3.50,57.77
01/03/02 02:00,1.94,0.2,0.00,-6999,92.10,146.3,2.30,57.03
01/03/02 03:00,2.37,-1.8,0.00,-6999,97.50,143.4,1.15,57.28
01/03/02 04:00,2.58,-0.6,0.00,-6999,96.80,156.4,2.47,57.02
01/03/02 05:00,2.61,-1.2,0.00,-6999,97.60,137.0,1.88,58.73
01/03/02 06:00,2.97,-2.3,0.00,-6999,96.80,257.1,1.12,59.23
01/03/02 07:00,3.21,-3.2,0.00,-6999,97.40,303.6,1.43,60.21
01/03/02 08:00,3.48,-3.4,1.16,-6999,97.10,301.4,0.69,60.19
01/03/02 09:00,3.80,-3.5,24.67,-6999,97.00,302.0,0.27,59.94
01/03/02 10:00,3.82,-3.4,41.22,-6999,97.00,272.8,0.13,58.70
01/03/02 11:00,3.90,-3.2,76.39,-6999,97.00,256.9,0.33,61.67
01/03/02 12:00,3.99,-2.6,101.30,-6999,96.90,282.6,0.28,61.19
01/03/02 13:00,4.11,-2.8,119.68,-6999,96.80,299.3,1.73,61.20
