2011 Shingle Creek Ridge Meterological Hourly Data (Summary),,,,,,,,,,,
,,,,,,,,,,,
Reference Dataset with the following format:,,,,,,,,,,,
,"[Year of data collection] Meteorological data from Dry Creek Experimental Watershed. Watershed Process Research Group, Boise State University",,,,,,,,,,
, URL: earth.boisestate.edu/drycreek. Multi-paged. [month and day of data download].,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,Column.Variable-units| Description,,,,,,,,,,
,1. DateTime| Time stamp of variable collection time [MM/DD/YY  hr:mm],,,,,,,,,,
,2. Precipitation-mm| Cumulative Shielded Rain gage Depth [mm],,,,,,,,,,
,"3. AirTemperature-C| Air Temperature at 2m above ground, Averaged [C]",,,,,,,,,,
,"4. SolarRadiation-Watts/m2| Solar Radiation, Averaged [Watts/m2]",,,,,,,,,,
,"5. Net Radiation-Watts/m2| Net Radiation, Averaged [Watts/m2]",,,,,,,,,,
,"6. Relative Humidity-%| Relative Humidity at 2m above ground , Averaged [%]",,,,,,,,,,
,7. Wind Direction-Degree| Mean Resultant Wind Direction at 2m above ground [Degree],,,,,,,,,,
,"8. Wind Speed-m/s| Wind Speed at 2m above ground, Averaged [m/s]",,,,,,,,,,
,"9.Snow Depth-cm| Filtered depth of snow above ground, Acoustic Sensor [cm]",,,,,,,,,,
,Note: -6999 denotes missing data,,,,,,,,,,
,,,,,,,,,,,
DateTime,Precipitation-mm,AirTemperature-C,SolarRadiation-Watts/m2,NetRadiation-Watts/m2,RelativeHumidity-%,WindDirection-Degree,WindSpeed-m/s,SnowDepth-cm,,,
01/01/2011 00:00,0.00,-15.2,0.00,-39.39,73.41,248.6,0.0,60.50,,,
01/01/2011 01:00,0.00,-15.5,0.00,-39.90,77.19,253.7,0.0,61.40,,,
01/01/2011 02:00,0.00,-15.0,0.00,-41.87,74.64,253.3,0.2,61.30,,,
01/01/2011 03:00,0.00,-14.6,0.00,-42.76,70.37,267.6,0.3,62.30,,,
01/01/2011 04:00,0.00,-14.9,0.00,-53.70,73.67,277.0,1.9,61.30,,,
01/01/2011 05:00,0.00,-14.3,0.00,-53.63,69.31,268.1,1.7,61.60,,,
01/01/2011 06:00,0.00,-14.1,0.00,-60.50,66.87,280.8,3.4,61.40,,,
01/01/2011 07:00,0.00,-13.6,0.00,-61.67,63.57,283.2,3.9,62.40,,,
01/01/2011 08:00,0.00,-14.3,0.00,-46.46,66.76,277.4,0.8,61.60,,,
01/01/2011 09:00,0.00,-14.6,0.00,-52.06,73.01,185.7,0.1,60.80,,,
01/01/2011 10:00,0.00,-14.7,42.15,-24.24,72.84,134.4,0.0,61.50,,,
01/01/2011 11:00,0.00,-12.0,215.00,-17.84,62.94,242.0,0.3,61.70,,,
01/01/2011 12:00,0.00,-9.2,383.90,-33.90,53.44,70.1,0.1,62.20,,,
01/01/2011 13:00,0.10,-8.1,390.00,-66.57,51.78,10.2,0.5,63.10,,,
01/01/2011 14:00,0.60,-9.1,383.60,-58.73,59.26,44.8,0.7,62.20,,,
01/01/2011 15:00,3.60,-11.2,382.10,4.73,72.34,95.0,1.0,61.90,,,
01/01/2011 16:00,3.60,-11.3,284.10,14.62,73.92,102.2,0.8,62.90,,,
01/01/2011 17:00,3.60,-11.4,123.20,-18.91,62.57,287.2,2.0,62.90,,,
01/01/2011 18:00,3.60,-12.3,0.00,-63.70,55.98,280.0,2.7,61.40,,,
01/01/2011 19:00,3.60,-13.9,0.00,-43.31,70.39,184.9,0.3,61.60,,,
01/01/2011 20:00,3.60,-13.5,0.00,-45.80,68.20,208.9,0.8,61.50,,,
01/01/2011 21:00,3.60,-13.8,0.00,-38.32,68.72,239.2,0.6,61.40,,,
01/01/2011 22:00,3.60,-12.2,0.00,-41.10,58.65,282.8,3.5,58.90,,,
01/01/2011 23:00,3.60,-11.6,0.00,-46.25,53.28,276.6,4.2,61.90,,,
01/02/2011 00:00,3.60,-12.1,0.00,-10.90,59.57,244.8,1.0,61.80,,,
01/02/2011 01:00,3.60,-12.0,0.00,7.43,61.96,289.5,1.1,61.50,,,
01/02/2011 02:00,3.60,-11.8,0.00,7.64,62.28,262.0,1.5,61.90,,,
01/02/2011 03:00,3.60,-11.6,0.00,6.60,64.52,266.9,0.8,62.70,,,
01/02/2011 04:00,3.60,-11.0,0.00,6.23,62.23,282.9,1.2,62.70,,,
01/02/2011 05:00,3.60,-10.5,0.00,6.07,64.20,289.4,3.9,62.80,,,
01/02/2011 06:00,3.60,-10.0,0.00,4.57,66.58,297.5,1.9,62.10,,,
01/02/2011 07:00,3.60,-10.7,0.00,3.17,71.20,148.7,0.0,62.80,,,
01/02/2011 08:00,3.60,-10.9,0.00,2.35,74.08,129.2,0.1,62.00,,,
01/02/2011 09:00,3.60,-10.7,9.60,-0.07,73.36,171.7,0.3,62.00,,,
01/02/2011 10:00,3.61,-10.0,82.10,20.41,73.26,109.6,0.2,62.80,,,
01/02/2011 11:00,3.62,-9.5,144.00,22.40,70.27,110.5,0.6,62.90,,,
01/02/2011 12:00,3.63,-9.4,206.80,41.14,75.42,75.9,0.4,62.00,,,
01/02/2011 13:00,3.63,-9.0,229.20,47.27,76.05,47.2,0.4,62.00,,,
01/02/2011 14:00,3.63,-9.6,251.00,44.25,80.10,72.9,0.4,62.10,,,
01/02/2011 15:00,3.63,-8.5,352.70,42.31,76.66,86.6,0.7,62.30,,,
01/02/2011 16:00,3.63,-8.0,295.20,24.85,72.06,97.9,0.8,62.30,,,
01/02/2011 17:00,3.63,-7.7,115.10,-11.21,66.49,86.5,0.1,62.30,,,
01/02/2011 18:00,3.63,-10.6,0.00,-45.20,77.67,173.8,0.0,62.00,,,
01/02/2011 19:00,3.63,-9.7,0.00,-43.13,79.01,190.2,0.3,62.10,,,
01/02/2011 20:00,3.64,-10.7,0.00,-39.88,83.40,151.0,0.1,62.00,,,
01/02/2011 21:00,3.64,-11.6,0.00,-38.78,74.95,173.8,0.1,61.70,,,
01/02/2011 22:00,3.65,-12.8,0.00,-35.91,82.00,0.0,0.0,61.60,,,
01/02/2011 23:00,3.65,-12.5,0.00,-37.84,81.00,141.2,0.2,60.60,,,
01/03/2011 00:00,3.65,-12.9,0.00,-38.39,84.10,182.3,0.1,60.60,,,
01/03/2011 01:00,3.65,-13.2,0.00,-37.20,87.20,152.9,0.0,60.70,,,
01/03/2011 02:00,3.65,-13.6,0.00,-37.74,91.10,153.0,0.0,60.50,,,
01/03/2011 03:00,3.65,-13.9,0.00,-36.19,92.70,0.0,0.0,60.70,,,
01/03/2011 04:00,3.65,-13.8,0.00,-31.19,92.70,0.0,0.0,60.50,,,
01/03/2011 05:00,3.65,-13.7,0.00,-28.37,91.90,0.0,0.0,60.70,,,
